input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.027_248_327.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	83.31			1	605					+		99.34								
GMGC10.028_428_809.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ac1	(Gly)vanX-Ac1	argannot	2021-Mar-27	DQ246438:2221-2835	abricate	abricate 1.0.1	82.18			1	606					+		98.54								
GMGC10.028_439_453.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.5			12	609					+		97.87								
GMGC10.029_092_832.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ao2	(Gly)vanX-Ao2	argannot	2021-Mar-27	HQ679900:2070-2678	abricate	abricate 1.0.1	92.28			1	609					+		100.0								
GMGC10.029_212_076.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	82.47			2	599					+		98.03								
GMGC10.029_325_619.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.39			9	607					+		97.87								
GMGC10.030_069_785.AAC	GMGC10.95nr_block_0013	(AGly)aac2-Ib	(AGly)aac2-Ib	argannot	2021-Mar-27	U41471:266-822	abricate	abricate 1.0.1	86.97			7	597					+		100.0								
GMGC10.030_602_155.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.53			1	599					+		98.03								
GMGC10.031_371_026.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.1			9	604					+		97.54								
GMGC10.032_080_693.TETR	GMGC10.95nr_block_0013	(Tet)tetR(G)	(Tet)tetR(G)	argannot	2021-Mar-27	S52438:113-745	abricate	abricate 1.0.1	93.27			1	609					+		96.21								
GMGC10.033_048_322.VANZ	GMGC10.95nr_block_0013	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.63			9	596					+		92.75								
GMGC10.033_075_653.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.85			12	595					+		95.57								
GMGC10.033_124_343.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	83.25			13	603					+		97.04								
GMGC10.035_073_121.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.43			2	609					+		99.84								
GMGC10.035_329_292.AAC	GMGC10.95nr_block_0013	(AGly)aac(2')-Id	(AGly)aac(2')-Id	argannot	2021-Mar-27	U72743:386-1018	abricate	abricate 1.0.1	84.39			1	607					+		95.42								
GMGC10.035_554_843.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.07			13	609					+		98.03								
GMGC10.038_519_220.UNKNOWN	GMGC10.95nr_block_0013	(AGly)aac(6')-Ia	(AGly)aac(6')-Ia	argannot	2021-Mar-27	NG_052294:101-703	abricate	abricate 1.0.1	100.0			1	603					+		100.0								
GMGC10.038_996_162.AAC	GMGC10.95nr_block_0013	(AGly)aac2-Ib	(AGly)aac2-Ib	argannot	2021-Mar-27	U41471:266-822	abricate	abricate 1.0.1	85.42			7	596					+		99.83								
GMGC10.039_334_203.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	99.18			1	609					+		100.0								
GMGC10.041_091_595.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.1			2	604					+		99.01								
GMGC10.041_425_540.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ao2	(Gly)vanX-Ao2	argannot	2021-Mar-27	HQ679900:2070-2678	abricate	abricate 1.0.1	82.12			1	604					+		99.18								
GMGC10.041_589_478.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.37			2	609					+		99.18								
GMGC10.041_841_870.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ac1	(Gly)vanX-Ac1	argannot	2021-Mar-27	DQ246438:2221-2835	abricate	abricate 1.0.1	82.21			1	605					+		98.05								
GMGC10.042_251_728.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ac1	(Gly)vanX-Ac1	argannot	2021-Mar-27	DQ246438:2221-2835	abricate	abricate 1.0.1	87.11			1	605					+		98.37								
GMGC10.042_258_810.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ao2	(Gly)vanX-Ao2	argannot	2021-Mar-27	HQ679900:2070-2678	abricate	abricate 1.0.1	81.38			13	608					+		97.87								
GMGC10.042_269_438.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ac1	(Gly)vanX-Ac1	argannot	2021-Mar-27	DQ246438:2221-2835	abricate	abricate 1.0.1	80.86			1	606					+		98.54								
GMGC10.042_372_525.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	83.33			2	609					+		99.18								
GMGC10.042_414_229.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.98			13	598					+		95.89								
GMGC10.042_764_730.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.3			1	604					+		99.18								
GMGC10.043_338_896.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.66			1	603					+		98.69								
GMGC10.043_387_189.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Ao2	(Gly)vanX-Ao2	argannot	2021-Mar-27	HQ679900:2070-2678	abricate	abricate 1.0.1	87.09			1	609					+		99.51								
GMGC10.043_640_387.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	82.3			2	599					+		98.19								
GMGC10.044_585_437.BAS0904	GMGC10.95nr_block_0013	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	88.83			1	612					+		98.07								
GMGC10.045_048_037.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.89			4	594					+		97.04								
GMGC10.045_082_423.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.46			7	607					+		98.19								
GMGC10.045_374_104.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	83.58			1	609					+		100.0								
GMGC10.045_428_540.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.93			28	627					+		98.03								
GMGC10.045_629_187.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.79			1	603					+		98.03								
GMGC10.045_891_285.BAS0904	GMGC10.95nr_block_0013	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	90.48			1	617					+		98.87								
GMGC10.046_264_562.VANX	GMGC10.95nr_block_0013	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.86			1	604					+		98.85								
GMGC10.046_491_896.VANX	GMGC10.95nr_block_0013	(Gly)vanX-D	(Gly)vanX-D	argannot	2021-Mar-27	AB242319:5046-5654	abricate	abricate 1.0.1	91.46			1	609					+		100.0								
GMGC10.002_989_158.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	82.5			27	626					+		94.2								
GMGC10.004_446_809.UNKNOWN	GMGC10.95nr_block_0014	(Phe)cat-pC223	(Phe)cat-pC223	argannot	2021-Mar-27	AY355285:1000-1647	abricate	abricate 1.0.1	100.0			1	648					+		100.0								
GMGC10.004_595_442.CAT	GMGC10.95nr_block_0014	(Phe)catV	(Phe)catV	argannot	2021-Mar-27	KY753886:1-660	abricate	abricate 1.0.1	96.52			1	660					+		100.0								
GMGC10.004_935_650.QNR	GMGC10.95nr_block_0014	(Flq)qnrA7	(Flq)qnrA7	argannot	2021-Mar-27	GQ463707:1-657	abricate	abricate 1.0.1	99.39			1	657					+		100.0								
GMGC10.005_301_556.CAT	GMGC10.95nr_block_0014	(Phe)catB	(Phe)catB	argannot	2021-Mar-27	M93113:145-804	abricate	abricate 1.0.1	82.25			1	659					+		99.85								
GMGC10.005_442_866.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	80.71			1	648					+		100.0								
GMGC10.006_445_793.CAT	GMGC10.95nr_block_0014	(Phe)catB	(Phe)catB	argannot	2021-Mar-27	M93113:145-804	abricate	abricate 1.0.1	82.55			1	659					+		99.85								
GMGC10.006_774_836.QNR	GMGC10.95nr_block_0014	(Flq)qnrB35	(Flq)qnrB35	argannot	2021-Mar-27	JN173057:2307-2951	abricate	abricate 1.0.1	80.19			7	647					+		99.38								
GMGC10.007_860_666.CAT	GMGC10.95nr_block_0014	(Phe)catB11	(Phe)catB11	argannot	2021-Mar-27	NG_050948:101-733	abricate	abricate 1.0.1	83.84			1	625					+		98.74								
GMGC10.008_697_088.QNR	GMGC10.95nr_block_0014	(Flq)qnrB37	(Flq)qnrB37	argannot	2021-Mar-27	JN173059:36-680	abricate	abricate 1.0.1	97.05			4	648					+		100.0								
GMGC10.009_246_115.QNR	GMGC10.95nr_block_0014	(Flq)qnrD	(Flq)qnrD	argannot	2021-Mar-27	FJ228229:554-1198	abricate	abricate 1.0.1	83.12			6	638					+		98.14								
GMGC10.009_461_836.UNKNOWN	GMGC10.95nr_block_0014	(Bla)blaB-4	(Bla)blaB-4	argannot	2021-Mar-27	NG_055992:101-730	abricate	abricate 1.0.1	100.0			1	630					+		100.0								
GMGC10.009_761_656.UNKNOWN	GMGC10.95nr_block_0014	(Phe)catA9	(Phe)catA9	argannot	2021-Mar-27	K01998:288-938	abricate	abricate 1.0.1	89.71			1	651					+		100.0								
GMGC10.010_458_499.CAT	GMGC10.95nr_block_0014	(Phe)catB11	(Phe)catB11	argannot	2021-Mar-27	NG_050948:101-733	abricate	abricate 1.0.1	82.46			1	633					+		100.0								
GMGC10.011_019_959.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.12			27	614					+		94.2								
GMGC10.011_138_712.CAT	GMGC10.95nr_block_0014	(Phe)catB1	(Phe)catB1	argannot	2021-Mar-27	M58472:148-777	abricate	abricate 1.0.1	96.19			1	630					+		100.0								
GMGC10.011_191_755.QNR	GMGC10.95nr_block_0014	(Flq)qnrVC4	(Flq)qnrVC4	argannot	2021-Mar-27	JX173954:1366-2022	abricate	abricate 1.0.1	98.94			1	657					+		100.0								
GMGC10.011_886_113.CAT	GMGC10.95nr_block_0014	(Phe)catV	(Phe)catV	argannot	2021-Mar-27	KY753886:1-660	abricate	abricate 1.0.1	93.64			1	660					+		100.0								
GMGC10.012_459_880.QNR	GMGC10.95nr_block_0014	(Flq)qnrB12	(Flq)qnrB12	argannot	2021-Mar-27	AM774474:2435-3079	abricate	abricate 1.0.1	92.56			1	645					+		99.54								
GMGC10.013_465_111.UNKNOWN	GMGC10.95nr_block_0014	(Phe)catA9	(Phe)catA9	argannot	2021-Mar-27	K01998:288-938	abricate	abricate 1.0.1	92.32			1	651					+		100.0								
GMGC10.013_557_696.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	82.0			27	626					+		94.2								
GMGC10.013_776_885.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	86.69			2	647					+		99.69								
GMGC10.013_819_303.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	81.48			1	648					+		100.0								
GMGC10.013_851_228.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	82.48			27	614					+		94.2								
GMGC10.014_669_340.CAT	GMGC10.95nr_block_0014	(Phe)cat-86	(Phe)cat-86	argannot	2021-Mar-27	K00544:145-807	abricate	abricate 1.0.1	89.22			2	641					+		96.53								
GMGC10.015_183_004.VANX	GMGC10.95nr_block_0014	(Gly)vanXE-Pp	(Gly)vanXE-Pp	argannot	2021-Mar-27	AF155139:6977-7648	abricate	abricate 1.0.1	80.19			1	616					+		91.67								
GMGC10.015_447_830.VATB	GMGC10.95nr_block_0014	(MLS)vat(B)	(MLS)vat(B)	argannot	2021-Mar-27	U19459:67-705	abricate	abricate 1.0.1	80.16			5	633					+		98.44								
GMGC10.015_448_804.CAT	GMGC10.95nr_block_0014	(Phe)catB	(Phe)catB	argannot	2021-Mar-27	M93113:145-804	abricate	abricate 1.0.1	80.61			1	660					+		100.0								
GMGC10.015_687_030.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	91.82			1	648					+		100.0								
GMGC10.016_127_696.VATB	GMGC10.95nr_block_0014	(MLS)vat(C)	(MLS)vat(C)	argannot	2021-Mar-27	AF015628:1307-1945	abricate	abricate 1.0.1	81.69			1	627					+		97.97								
GMGC10.016_423_126.CAT	GMGC10.95nr_block_0014	(Phe)cat-86	(Phe)cat-86	argannot	2021-Mar-27	K00544:145-807	abricate	abricate 1.0.1	93.73			2	655					+		98.64								
GMGC10.016_987_439.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	99.23			1	648					+		100.0								
GMGC10.017_087_692.QNR	GMGC10.95nr_block_0014	(Flq)qnr-AS	(Flq)qnr-AS	argannot	2021-Mar-27	FM178379:1699484-1700140	abricate	abricate 1.0.1	100.0			1	657					+		100.0								
GMGC10.017_125_452.CAT	GMGC10.95nr_block_0014	(Phe)catA2	(Phe)catA2	argannot	2021-Mar-27	X53796:187-903	abricate	abricate 1.0.1	90.34			1	642					+		100.0								
GMGC10.017_220_772.CAT	GMGC10.95nr_block_0014	(Phe)catV	(Phe)catV	argannot	2021-Mar-27	KY753886:1-660	abricate	abricate 1.0.1	92.88			1	660					+		100.0								
GMGC10.017_251_069.CAT	GMGC10.95nr_block_0014	(Phe)catB1	(Phe)catB1	argannot	2021-Mar-27	M58472:148-777	abricate	abricate 1.0.1	80.83			1	599					+		94.92								
GMGC10.017_271_646.VATB	GMGC10.95nr_block_0014	(MLS)vat(B)	(MLS)vat(B)	argannot	2021-Mar-27	U19459:67-705	abricate	abricate 1.0.1	99.84			1	639					+		100.0								
GMGC10.017_552_660.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.67			27	614					+		94.2								
GMGC10.017_910_389.VATB	GMGC10.95nr_block_0014	(MLS)vat(F)	(MLS)vat(F)	argannot	2021-Mar-27	AF170730:70-735	abricate	abricate 1.0.1	98.65			1	660					+		99.1								
GMGC10.018_130_452.AACA7	GMGC10.95nr_block_0014	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	97.72			1	438					+		100.0								
GMGC10.018_371_607.VATB	GMGC10.95nr_block_0014	(MLS)vat(B)	(MLS)vat(B)	argannot	2021-Mar-27	U19459:67-705	abricate	abricate 1.0.1	80.67			7	632					+		97.97								
GMGC10.018_872_568.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	81.93			1	642					+		99.07								
GMGC10.018_901_501.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	83.2			1	642					+		98.92								
GMGC10.019_373_765.CAT	GMGC10.95nr_block_0014	(Phe)cat-86	(Phe)cat-86	argannot	2021-Mar-27	K00544:145-807	abricate	abricate 1.0.1	90.06			2	655					+		98.64								
GMGC10.019_503_945.UNKNOWN	GMGC10.95nr_block_0014	(AGly)aac(6')-Iae	(AGly)aac(6')-Iae	argannot	2021-Mar-27	AB104852:1935-2486	abricate	abricate 1.0.1	100.0			94	645					+		100.0								
GMGC10.019_514_942.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.42			27	611					+		94.2								
GMGC10.019_544_038.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	80.0			27	626					+		94.2								
GMGC10.019_652_346.VATB	GMGC10.95nr_block_0014	(MLS)vat(B)	(MLS)vat(B)	argannot	2021-Mar-27	U19459:67-705	abricate	abricate 1.0.1	80.32			1	630					+		98.59								
GMGC10.019_677_717.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	84.01			27	614					+		94.2								
GMGC10.020_091_523.UNKNOWN	GMGC10.95nr_block_0014	(Phe)catA9	(Phe)catA9	argannot	2021-Mar-27	K01998:288-938	abricate	abricate 1.0.1	89.39			2	651					+		99.85								
GMGC10.020_564_424.CAT	GMGC10.95nr_block_0014	(Phe)catB1	(Phe)catB1	argannot	2021-Mar-27	M58472:148-777	abricate	abricate 1.0.1	80.37			7	538					+		83.49								
GMGC10.021_864_444.CAT	GMGC10.95nr_block_0014	(Phe)catA4	(Phe)catA4	argannot	2021-Mar-27	NG_047569:101-754	abricate	abricate 1.0.1	93.36			1	647					+		98.78								
GMGC10.022_058_419.TETR	GMGC10.95nr_block_0014	(Tet)tetR	(Tet)tetR	argannot	2021-Mar-27	HF545434:53576-54226	abricate	abricate 1.0.1	92.93			1	642					+		98.62								
GMGC10.022_170_678.AAC	GMGC10.95nr_block_0014	(AGly)aac(2')-Id	(AGly)aac(2')-Id	argannot	2021-Mar-27	U72743:386-1018	abricate	abricate 1.0.1	99.05			1	633					+		100.0								
GMGC10.022_769_805.CAT	GMGC10.95nr_block_0014	(Phe)catB1	(Phe)catB1	argannot	2021-Mar-27	M58472:148-777	abricate	abricate 1.0.1	89.57			1	623					+		98.89								
GMGC10.022_783_445.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	86.05			27	614					+		94.2								
GMGC10.023_063_812.QNR	GMGC10.95nr_block_0014	(Flq)qnrB38	(Flq)qnrB38	argannot	2021-Mar-27	JN173060:2307-2951	abricate	abricate 1.0.1	99.69			1	645					+		100.0								
GMGC10.024_273_993.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.76			27	611					+		94.2								
GMGC10.024_274_084.CAT	GMGC10.95nr_block_0014	(Phe)cat-86	(Phe)cat-86	argannot	2021-Mar-27	K00544:145-807	abricate	abricate 1.0.1	91.44			2	655					+		98.64								
GMGC10.024_419_470.QNR	GMGC10.95nr_block_0014	(Flq)qnr-AS	(Flq)qnr-AS	argannot	2021-Mar-27	FM178379:1699484-1700140	abricate	abricate 1.0.1	80.82			1	657					+		100.0								
GMGC10.024_791_524.YISX	GMGC10.95nr_block_0014	(Flq)qnr-S5	(Flq)qnr-S5	argannot	2021-Mar-27	HQ631377:1-657	abricate	abricate 1.0.1	97.26			1	656					+		99.85								
GMGC10.024_987_721.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.73			27	617					+		92.75								
GMGC10.025_238_920.CAT	GMGC10.95nr_block_0014	(Phe)catU	(Phe)catU	argannot	2021-Mar-27	NG_055655:1-654	abricate	abricate 1.0.1	100.0			1	654					+		100.0								
GMGC10.025_438_720.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	80.88			27	617					+		92.75								
GMGC10.025_440_649.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	84.69			27	614					+		94.2								
GMGC10.025_441_262.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.0			27	626					+		94.2								
GMGC10.025_443_297.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.5			27	614					+		94.2								
GMGC10.025_555_593.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	80.5			27	626					+		94.2								
GMGC10.025_556_475.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.22			27	617					+		92.75								
GMGC10.025_618_550.VANX	GMGC10.95nr_block_0014	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	81.82			10	603					+		97.54								
GMGC10.025_887_575.VATB	GMGC10.95nr_block_0014	(MLS)vat(A)	(MLS)vat(A)	argannot	2021-Mar-27	L07778:258-917	abricate	abricate 1.0.1	99.54			1	648					+		98.18								
GMGC10.026_001_388.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.93			27	611					+		94.2								
GMGC10.026_186_716.CAT	GMGC10.95nr_block_0014	(Phe)catU	(Phe)catU	argannot	2021-Mar-27	NG_055655:1-654	abricate	abricate 1.0.1	92.36			1	651					+		99.54								
GMGC10.026_440_502.CAT	GMGC10.95nr_block_0014	(Phe)catB11	(Phe)catB11	argannot	2021-Mar-27	NG_050948:101-733	abricate	abricate 1.0.1	90.68			1	633					+		100.0								
GMGC10.026_742_542.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	82.82			27	614					+		94.2								
GMGC10.026_743_479.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	81.39			27	617					+		92.75								
GMGC10.026_744_526.VANZ	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	83.96			27	611					+		94.04								
GMGC10.026_785_672.BAS0904	GMGC10.95nr_block_0014	(Gly)vanZF-Pp	(Gly)vanZF-Pp	argannot	2021-Mar-27	AF155139:4339-4959	abricate	abricate 1.0.1	82.14			27	614					+		94.2								
GMGC10.029_530_767.CAT	GMGC10.95nr_block_0014	(Phe)catB11	(Phe)catB11	argannot	2021-Mar-27	NG_050948:101-733	abricate	abricate 1.0.1	91.92			1	631					+		99.68								
GMGC10.030_008_597.VANX	GMGC10.95nr_block_0014	(Gly)vanX-Sc	(Gly)vanX-Sc	argannot	2021-Mar-27	AL939117:55404-56012	abricate	abricate 1.0.1	80.24			12	603					+		97.21								
GMGC10.030_569_824.CAT	GMGC10.95nr_block_0014	(Phe)catB7	(Phe)catB7	argannot	2021-Mar-27	AF036933:177-815	abricate	abricate 1.0.1	80.03			4	578					+		89.83								
GMGC10.031_242_543.CAT	GMGC10.95nr_block_0014	(Phe)catB	(Phe)catB	argannot	2021-Mar-27	M93113:145-804	abricate	abricate 1.0.1	81.18			1	659					+		99.85								
GMGC10.031_814_783.CAT	GMGC10.95nr_block_0014	(Phe)catB11	(Phe)catB11	argannot	2021-Mar-27	NG_050948:101-733	abricate	abricate 1.0.1	83.04			1	625					+		98.74								
GMGC10.031_870_304.UNKNOWN	GMGC10.95nr_block_0014	(AGly)kamB	(AGly)kamB	argannot	2021-Mar-27	NG_050562:101-748	abricate	abricate 1.0.1	100.0			1	648					+		100.0								
GMGC10.032_518_742.QNR	GMGC10.95nr_block_0014	(Flq)qnrVC1	(Flq)qnrVC1	argannot	2021-Mar-27	JX861889:3123-3779	abricate	abricate 1.0.1	80.92			4	657					+		99.54								
GMGC10.032_558_356.CAT	GMGC10.95nr_block_0014	(phe)catA_variant1	(phe)catA_variant1	argannot	2021-Mar-27	NG_060532:101-748	abricate	abricate 1.0.1	88.89			1	648					+		100.0								
GMGC10.032_834_203.CAT	GMGC10.95nr_block_0014	(Phe)catA-St	(Phe)catA-St	argannot	2021-Mar-27	NG_047581:101-763	abricate	abricate 1.0.1	81.88			14	608					+		89.59								
