Accession	Name	Description	ID	CARD Short Name
ARO:3001299	tlrB conferring tylosin resistance	TlrB is a methyltransferase found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). TlrB is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide.	37698	Sfra_tlrB_TYL
ARO:3001300	myrA	myrA is a methyltransferase found in Micromonospora griseorubida and confers resistance to mycinamicin and tylosin. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA. MyrA is found in the mycinamicin biosynthetic cluster and is one mechanism by which M. griseorubida protects itself from self-destruction when producing this macrolide.	37699	myrA
ARO:3001301	RlmA(II)	RlmA(II) is a methyltransferase found in Streptococcus pneumoniae and confers resistance to tylosin and mycinamicin. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA.	37700	RlmA(II)
ARO:3001302	chrB	ChrB is a methyltransferase found in Streptomyces bikiniensis and confers resistance to chalcomycin, mycinamicin, and tylosin. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). chrB is found in the chalcomycin biosynthetic cluster and is responsible for self-resistance in S. bikiniensis.	37701	chrB
ARO:3001303	ErmO-srmA	ErmO (gene srmA) is a methyltransferase found in the spiramycin producer Streptomyces ambofaciens. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is responsible for self-resistance to spiramycin.	37702	ErmO-srmA
ARO:3001304	ErmS	ErmS is a methyltransferase found in the tylosin producer Streptomyces fradiae. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers two methyl groups. The gene is found within the tylosin biosynthetic cluster and is responsible for self-resistance.	37703	ErmS
ARO:3001305	ErmU	ErmU is a methyltransferase found in the lincomycin producer Streptomyces lincolnensis. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is found in the lincomycin biosynthetic cluster and is responsible for self-resistance.	37704	ErmU
ARO:3001306	ErmW	ErmW is a methyltransferase found in the mycinamicin producer Micromonospora griseorubida. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the mycinamicin biosynthetic cluster and is responsible for self-resistance.	37705	ErmW
ARO:3001307	vgbA	vgbA inactivates streptogramin B-type antibiotics by linearizing the lactone ring on the ester bond using an elimination mechanism, thus conferring resistance to these compounds.	37706	vgbA
ARO:3001308	vgbB	VgbB inactivates streptogramin B-type antibiotics by linearizing the lactone ring on the ester bond through an elimination mechanism, thus conferring resistance.	37707	vgbB
ARO:3001313	facT	Efflux protein facT confers resistance to factumycin. The gene has been heterologously expressed in S. coelicolor and its function confirmed. It is possible that this gene can export other kirromycin-like elfamycins, but this has not been tested.	37712	facT
ARO:3001327	MdtK	A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin, doxorubicin and acriflavine.	37726	MdtK
ARO:3001328	Escherichia coli mdfA	Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.	37727	Ecol_mdfA
ARO:3001329	mdtG	The MdtG protein, also named YceE, appears to be a member of the major facilitator superfamily of transporters, and it has been reported, when overexpressed, to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.	37728	mdtG
ARO:3001336	SHV-98	SHV-98 is a beta-lactamase found in Klebsiella pneumoniae.	37736	SHV-98
ARO:3001337	SHV-99	SHV-99 is a beta-lactamase found in Klebsiella pneumoniae.	37737	SHV-99
ARO:3001338	SHV-100	SHV-100 is a beta-lactamase found in Klebsiella pneumoniae. It differs from SHV-1 by a 35SESQLSGRVGMIE36 insertion.	37738	SHV-100
ARO:3001340	SHV-119	From the Lahey list of beta-lactamases. Not yet released.	37740	SHV-119
ARO:3001341	SHV-132	From the Lahey list of beta-lactamases. Not yet released.	37741	SHV-132
ARO:3001344	SHV-143	From the Lahey list of beta-lactamases.	37744	SHV-143
ARO:3001345	SHV-144	SHV-144 is a beta-lactamase found in Klebsiella pneumoniae.	37745	SHV-144
ARO:3001346	SHV-146	From the Lahey list of beta-lactamases. Not yet released.	37746	SHV-146
ARO:3001347	SHV-164	From the Lahey list of beta-lactamases.	37747	SHV-164
ARO:3001350	SHV-180	From the Lahey list of beta-lactamases. Not yet released.	37750	SHV-180
ARO:3001351	SHV-183	From the Lahey list of beta-lactamases. Not yet released.	37751	SHV-183
ARO:3001352	SHV-168	From the Lahey list of beta-lactamases.	37752	SHV-168
ARO:3001355	SHV-171	From the Lahey list of beta-lactamases.	37755	SHV-171
ARO:3001356	SHV-172	From the Lahey list of beta-lactamases.	37756	SHV-172
ARO:3001357	SHV-173	From the Lahey list of beta-lactamases.	37757	SHV-173
ARO:3001361	SHV-178	From the Lahey list of beta-lactamases.	37761	SHV-178
ARO:3001362	SHV-179	From the Lahey list of beta-lactamases.	37762	SHV-179
ARO:3001364	SHV-182	From the Lahey list of beta-lactamases.	37764	SHV-182
ARO:3001369	TEM-153	TEM-153 is a beta-lactamase found in Enterobacteriaceae.	37769	TEM-153
ARO:3001373	TEM-182	TEM-182 is a beta-lactamase found in clinical isolates of H. parainfluenzae.	37773	TEM-182
ARO:3001374	TEM-185	TEM-185 is a beta-lactamase found in E. coli.	37774	TEM-185
ARO:3001375	TEM-184	From the Lahey list of beta-lactamases. Not yet released.	37775	TEM-184
ARO:3001376	TEM-196	From the Lahey list of beta-lactamases. Not yet released.	37776	TEM-196
ARO:3001378	TEM-201	TEM-201 is a beta-lactamase found in Enterobacteriaceae.	37778	TEM-201
ARO:3001382	TEM-205	From the Lahey list of beta-lactamases. Not yet released.	37782	TEM-205
ARO:3001383	TEM-206	From the Lahey list of beta-lactamases. Not yet released.	37783	TEM-206
ARO:3001384	TEM-207	From the Lahey list of beta-lactamases. Not yet released.	37784	TEM-207
ARO:3001385	TEM-208	From the Lahey list of beta-lactamases. Not yet released.	37785	TEM-208
ARO:3001386	TEM-209	From the Lahey list of beta-lactamases. Not yet released.	37786	TEM-209
ARO:3001387	TEM-210	TEM-210.	37787	TEM-210
ARO:3001388	TEM-211	From the Lahey list of beta-lactamases. Not yet released.	37788	TEM-211
ARO:3001389	TEM-212	From the Lahey list of beta-lactamases. Not yet released.	37789	TEM-212
ARO:3001390	TEM-213	From the Lahey list of beta-lactamases. Not yet released.	37790	TEM-213
ARO:3001391	TEM-214	From the Lahey list of beta-lactamases. Not yet released.	37791	TEM-214
ARO:3001392	TEM-215	From the Lahey list of beta-lactamases. Not yet released.	37792	TEM-215
ARO:3001393	TEM-216	From the Lahey list of beta-lactamases. Not yet released.	37793	TEM-216
ARO:3001394	TEM-217	From the Lahey list of beta-lactamases. Not yet released. Isolated from Enterobacter cloacae.	37794	TEM-217
ARO:3001396	OXA-1	OXA-1 is a beta-lactamase found in E. coli.	37796	OXA-1
ARO:3001397	OXA-2	OXA-2 is a beta-lactamase found in the Enterobacteriaceae family.	37797	OXA-2
ARO:3001398	OXA-3	OXA-3 is a beta-lactamase found in P. aeruginosa.	37798	OXA-3
ARO:3001399	OXA-4	OXA-4 is a beta-lactamase found in Enterobacteriaceae and P. aeruginosa.	37799	OXA-4
ARO:3001400	OXA-5	OXA-5 is a beta-lactamase found in P. aeruginosa and Enterobacteriaceae.	37800	OXA-5
ARO:3001402	OXA-7	OXA-7 is a beta-lactamase found in P. aeruginosa and Enterobacteriaceae.	37802	OXA-7
ARO:3001404	OXA-9	OXA-9 is a beta-lactamase found in Klebsiella pneumoniae.	37804	OXA-9
ARO:3001405	OXA-10	OXA-10 is a beta-lactamase found in Acinetobacter baumannii and P. aeruginosa.	37805	OXA-10
ARO:3001406	OXA-11	OXA-11 is a beta-lactamase found in P. aeruginosa.	37806	OXA-11
ARO:3001407	OXA-12	OXA-12 is a beta-lactamase found in Aeromonas jandaei.	37807	OXA-12
ARO:3001408	OXA-13	OXA-13 is a beta-lactamase found in P. aeruginosa.	37808	OXA-13
ARO:3001409	OXA-14	OXA-14 is a beta-lactamase found in P. aeruginosa.	37809	OXA-14
ARO:3001410	OXA-15	OXA-15 is a beta-lactamase found in P. aeruginosa.	37810	OXA-15
ARO:3001411	OXA-16	OXA-16 is a beta-lactamase found in P. aeruginosa.	37811	OXA-16
ARO:3001412	OXA-17	OXA-17 is a beta-lactamase found in P. aeruginosa and Klebsiella pneumoniae.	37812	OXA-17
ARO:3001413	OXA-18	OXA-18 is a beta-lactamase found in P. aeruginosa and Rickettsia.	37813	OXA-18
ARO:3001414	OXA-19	OXA-19 is a beta-lactamase found in P. aeruginosa.	37814	OXA-19
ARO:3001415	OXA-20	OXA-20 is a beta-lactamase found in P. aeruginosa.	37815	OXA-20
ARO:3001416	OXA-21	OXA-21 is a beta-lactamase found in A. baumannii.	37816	OXA-21
ARO:3001417	OXA-22	OXA-22 is a beta-lactamase found in Ralstonia pickettii.	37817	OXA-22
ARO:3001418	OXA-23	OXA-23 is a beta-lactamase found in A. baumannii.	37818	OXA-23
ARO:3001419	OXA-24	OXA-24 is a beta-lactamase found in A. baumannii and P. aeruginosa.	37819	OXA-24
ARO:3001420	OXA-25	OXA-25 is a beta-lactamase found in A. baumannii.	37820	OXA-25
ARO:3001421	OXA-26	OXA-26 is a beta-lactamase found in A. baumannii.	37821	OXA-26
ARO:3001422	OXA-27	OXA-27 is a beta-lactamase found in A. baumannii.	37822	OXA-27
ARO:3001423	OXA-28	OXA-28 is a beta-lactamase found in P. aeruginosa.	37823	OXA-28
ARO:3001424	OXA-29	OXA-29 is a beta-lactamase found in Legionella gormanii.	37824	OXA-29
ARO:3001425	OXA-31	OXA-31 is a beta-lactamase found in P. aeruginosa.	37825	OXA-31
ARO:3001426	OXA-32	OXA-32 is a beta-lactamase found in P. aeruginosa.	37826	OXA-32
ARO:3001427	OXA-33	OXA-33 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37827	OXA-33
ARO:3001428	OXA-34	OXA-34 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37828	OXA-34
ARO:3001429	OXA-35	OXA-35 is a beta-lactamase found in P. aeruginosa.	37829	OXA-35
ARO:3001430	OXA-36	OXA-36 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37830	OXA-36
ARO:3001431	OXA-37	OXA-37 is a beta-lactamase found in A. baumannii.	37831	OXA-37
ARO:3001437	OXA-67	OXA-67 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37837	OXA-67
ARO:3001438	OXA-100	OXA-100 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37838	OXA-100
ARO:3001439	OXA-101	OXA-101 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37839	OXA-101
ARO:3001440	OXA-115	OXA-115 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37840	OXA-115
ARO:3001441	OXA-116	OXA-116 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37841	OXA-116
ARO:3001442	OXA-117	OXA-117 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37842	OXA-117
ARO:3001443	OXA-121	OXA-121 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37843	OXA-121
ARO:3001444	OXA-122	OXA-122 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37844	OXA-122
ARO:3001445	OXA-123	OXA-123 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37845	OXA-123
ARO:3001446	OXA-124	OXA-124 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37846	OXA-124
ARO:3001447	OXA-125	OXA-125 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37847	OXA-125
ARO:3001448	OXA-126	OXA-126 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37848	OXA-126
ARO:3001449	OXA-127	OXA-127 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37849	OXA-127
ARO:3001451	OXA-139	OXA-139 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37851	OXA-139
ARO:3001452	OXA-140	OXA-140 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37852	OXA-140
ARO:3001453	OXA-148	OXA-148 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37853	OXA-148
ARO:3001454	OXA-149	OXA-149 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37854	OXA-149
ARO:3001455	OXA-150	OXA-150 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37855	OXA-150
ARO:3001456	OXA-151	OXA-151 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37856	OXA-151
ARO:3001457	OXA-152	OXA-152 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37857	OXA-152
ARO:3001458	OXA-153	OXA-153 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37858	OXA-153
ARO:3001459	OXA-154	OXA-154 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37859	OXA-154
ARO:3001460	OXA-155	OXA-155 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37860	OXA-155
ARO:3001461	OXA-156	OXA-156 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37861	OXA-156
ARO:3001462	OXA-157	OXA-157 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37862	OXA-157
ARO:3001463	OXA-158	OXA-158 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37863	OXA-158
ARO:3001464	OXA-159	OXA-159 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37864	OXA-159
ARO:3001465	OXA-165	OXA-165 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37865	OXA-165
ARO:3001466	OXA-166	OXA-166 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37866	OXA-166
ARO:3001467	OXA-167	OXA-167 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37867	OXA-167
ARO:3001468	OXA-168	OXA-168 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37868	OXA-168
ARO:3001469	OXA-169	OXA-169 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37869	OXA-169
ARO:3001470	OXA-170	OXA-170 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37870	OXA-170
ARO:3001471	OXA-171	OXA-171 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37871	OXA-171
ARO:3001472	OXA-178	OXA-178 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37872	OXA-178
ARO:3001473	OXA-179	OXA-179 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37873	OXA-179
ARO:3001474	OXA-180	OXA-180 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37874	OXA-180
ARO:3001475	OXA-183	OXA-183 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37875	OXA-183
ARO:3001476	OXA-184	OXA-184 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37876	OXA-184
ARO:3001477	OXA-185	OXA-185 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37877	OXA-185
ARO:3001478	OXA-193	OXA-193 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37878	OXA-193
ARO:3001479	OXA-194	OXA-194 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37879	OXA-194
ARO:3001480	OXA-195	OXA-195 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37880	OXA-195
ARO:3001481	OXA-196	OXA-196 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37881	OXA-196
ARO:3001482	OXA-197	OXA-197 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37882	OXA-197
ARO:3001483	OXA-205	OXA-205 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37883	OXA-205
ARO:3001484	OXA-206	OXA-206 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37884	OXA-206
ARO:3001485	OXA-207	OXA-207 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37885	OXA-207
ARO:3001486	OXA-208	OXA-208 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37886	OXA-208
ARO:3001487	OXA-210	OXA-210 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37887	OXA-210
ARO:3001488	OXA-216	OXA-216 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37888	OXA-216
ARO:3001489	OXA-217	OXA-217 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37889	OXA-217
ARO:3001493	OXA-225	OXA-225 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37893	OXA-225
ARO:3001495	OXA-233	OXA-233 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37895	OXA-233
ARO:3001496	OXA-234	OXA-234 is a beta-lactamase found in Acinetobacter baumannii.	37896	OXA-234
ARO:3001498	OXA-239	OXA-239 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37898	OXA-239
ARO:3001499	OXA-240	OXA-240 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37899	OXA-240
ARO:3001500	OXA-251	OXA-251 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37900	OXA-251
ARO:3001501	OXA-252	OXA-252 is a beta-lactamase found in Shewanella spp.	37901	OXA-252
ARO:3001502	OXA-256	OXA-256 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37902	OXA-256
ARO:3001503	OXA-258	OXA-258 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37903	OXA-258
ARO:3001504	OXA-309	OXA-309 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37904	OXA-309
ARO:3001510	OXA-322	OXA-322 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37910	OXA-322
ARO:3001511	OXA-323	OXA-323 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37911	OXA-323
ARO:3001512	OXA-324	OXA-324 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37912	OXA-324
ARO:3001513	OXA-325	OXA-325 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37913	OXA-325
ARO:3001514	OXA-326	OXA-326 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37914	OXA-326
ARO:3001515	OXA-327	OXA-327 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37915	OXA-327
ARO:3001516	OXA-328	OXA-328 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37916	OXA-328
ARO:3001517	OXA-329	OXA-329 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37917	OXA-329
ARO:3001518	OXA-330	OXA-330 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37918	OXA-330
ARO:3001519	OXA-331	OXA-331 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37919	OXA-331
ARO:3001520	OXA-332	OXA-332 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37920	OXA-332
ARO:3001521	OXA-333	OXA-333 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37921	OXA-333
ARO:3001522	OXA-334	OXA-334 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37922	OXA-334
ARO:3001523	OXA-335	OXA-335 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37923	OXA-335
ARO:3001524	OXA-336	OXA-336 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37924	OXA-336
ARO:3001525	OXA-337	OXA-337 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37925	OXA-337
ARO:3001526	OXA-338	OXA-338 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37926	OXA-338
ARO:3001527	OXA-339	OXA-339 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37927	OXA-339
ARO:3001528	OXA-340	OXA-340 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37928	OXA-340
ARO:3001529	OXA-341	OXA-341 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37929	OXA-341
ARO:3001530	OXA-342	OXA-342 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37930	OXA-342
ARO:3001531	OXA-343	OXA-343 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37931	OXA-343
ARO:3001532	OXA-344	OXA-344 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37932	OXA-344
ARO:3001533	OXA-345	OXA-345 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37933	OXA-345
ARO:3001534	OXA-346	OXA-346 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37934	OXA-346
ARO:3001535	OXA-348	OXA-348 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37935	OXA-348
ARO:3001536	OXA-349	OXA-349 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37936	OXA-349
ARO:3001537	OXA-350	OXA-350 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37937	OXA-350
ARO:3001538	OXA-351	OXA-351 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37938	OXA-351
ARO:3001539	OXA-352	OXA-352 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37939	OXA-352
ARO:3001540	OXA-353	OXA-353 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37940	OXA-353
ARO:3001541	OXA-354	OXA-354 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37941	OXA-354
ARO:3001542	OXA-355	OXA-355 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37942	OXA-355
ARO:3001543	OXA-356	OXA-356 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37943	OXA-356
ARO:3001544	OXA-357	OXA-357 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37944	OXA-357
ARO:3001545	OXA-358	OXA-358 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37945	OXA-358
ARO:3001546	OXA-359	OXA-359 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37946	OXA-359
ARO:3001547	OXA-360	OXA-360 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37947	OXA-360
ARO:3001548	OXA-361	OXA-361 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37948	OXA-361
ARO:3001549	OXA-362	OXA-362 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37949	OXA-362
ARO:3001550	OXA-363	OXA-363 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37950	OXA-363
ARO:3001551	OXA-364	OXA-364 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37951	OXA-364
ARO:3001552	OXA-365	OXA-365 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37952	OXA-365
ARO:3001553	OXA-366	OXA-366 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37953	OXA-366
ARO:3001555	OXA-368	OXA-368 is a beta-lactamase found in Aeromonas sobria. From the Lahey list of OXA beta-lactamases.	37955	OXA-368
ARO:3001557	OXA-371	OXA-371 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37957	OXA-371
ARO:3001558	OXA-372	OXA-372 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37958	OXA-372
ARO:3001559	OXA-373	OXA-373 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37959	OXA-373
ARO:3001560	OXA-374	OXA-374 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37960	OXA-374
ARO:3001561	OXA-375	OXA-375 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37961	OXA-375
ARO:3001562	OXA-376	OXA-376 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37962	OXA-376
ARO:3001563	OXA-377	OXA-377 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37963	OXA-377
ARO:3001564	OXA-378	OXA-378 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37964	OXA-378
ARO:3001565	OXA-379	OXA-379 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37965	OXA-379
ARO:3001566	OXA-380	OXA-380 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37966	OXA-380
ARO:3001567	OXA-381	OXA-381 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37967	OXA-381
ARO:3001568	OXA-382	OXA-382 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37968	OXA-382
ARO:3001569	OXA-383	OXA-383 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37969	OXA-383
ARO:3001570	OXA-384	OXA-384 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37970	OXA-384
ARO:3001571	OXA-385	OXA-385 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37971	OXA-385
ARO:3001572	OXA-386	OXA-386 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37972	OXA-386
ARO:3001573	OXA-387	OXA-387 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37973	OXA-387
ARO:3001574	OXA-388	OXA-388 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37974	OXA-388
ARO:3001575	OXA-389	OXA-389 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37975	OXA-389
ARO:3001576	OXA-390	OXA-390 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37976	OXA-390
ARO:3001577	OXA-391	OXA-391 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37977	OXA-391
ARO:3001578	OXA-392	OXA-392 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37978	OXA-392
ARO:3001581	OXA-395	OXA-395 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37981	OXA-395
ARO:3001582	OXA-396	OXA-396 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37982	OXA-396
ARO:3001583	OXA-397	OXA-397 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37983	OXA-397
ARO:3001584	OXA-398	OXA-398 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37984	OXA-398
ARO:3001586	OXA-400	OXA-400 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37986	OXA-400
ARO:3001587	OXA-401	OXA-401 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37987	OXA-401
ARO:3001588	OXA-402	OXA-402 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37988	OXA-402
ARO:3001589	OXA-403	OXA-403 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37989	OXA-403
ARO:3001595	OXA-404	OXA-404 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37995	OXA-404
ARO:3001596	OXA-405	OXA-405 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37996	OXA-405
ARO:3001597	OXA-406	OXA-406 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37997	OXA-406
ARO:3001598	OXA-407	OXA-407 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37998	OXA-407
ARO:3001599	OXA-408	OXA-408 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	37999	OXA-408
ARO:3001600	OXA-409	OXA-409 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	38000	OXA-409
ARO:3001602	OXA-411	OXA-411 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	38002	OXA-411
ARO:3001603	OXA-412	OXA-412 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	38003	OXA-412
ARO:3001604	OXA-413	OXA-413 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	38004	OXA-413
ARO:3001605	OXA-414	OXA-414 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.	38005	OXA-414
