Accession	Name	Description	ID
83334	Escherichia coli O157:H7	Definition needed.	36746
155864	Escherichia coli O157:H7 str. EDL933		36761
386585	Escherichia coli O157:H7 str. Sakai	Definition needed.	36747
941280	Escherichia coli O25b:H4	_blank_	40530
573235	Escherichia coli O26:H11 str. 11368	_blank_	42007
685038	Escherichia coli O83:H1 str. NRG 857C	_blank_	41972
439184	Escherichia coli RS218		36776
439855	Escherichia coli SMS-3-5	Escherichia coli SMS-3-5	45687
83333	Escherichia coli str. K-12	_blank_	36905
1403831	Escherichia coli str. K-12 substr. MC4100	_blank_	40589
511145	Escherichia coli str. K-12 substr. MG1655		36849
316407	Escherichia coli str. K-12 substr. W3110		36839
585056	Escherichia coli UMN026	_blank_	42026
696406	Escherichia coli UMNK88	_blank_	40511
364106	Escherichia coli UTI89	_blank_	41867
564	Escherichia fergusonii	_BLANK_	43772
1499973	Escherichia marmotae	_BLANK_	43773
1115653	Escherichia phage 1720a-02	_blank_	42701
186802	Eubacteriales	placeholder	43437
1730	Eubacterium	placeholder	43449
1736	Eubacterium limosum	_BLANK_	43774
2041044	Eubacterium maltosivorans	_BLANK_	43775
2759	Eukaryota	Eukaryota	45540
33986	Exiguobacterium	NULL	45500
1389960	Exiguobacterium sp. S3-2		39580
216851	Faecalibacterium	placeholder	43450
853	Faecalibacterium prausnitzii	_BLANK_	43776
237	Flavobacterium	placeholder	43451
986	Flavobacterium johnsoniae	NULL	45503
376686	Flavobacterium johnsoniae UW101		39076
461	Fluoribacter	NULL	45505
464	Fluoribacter gormanii		36922
262	Francisella	NULL	45506
28110	Francisella philomiragia	NULL	45507
539329	Francisella philomiragia subsp. philomiragia ATCC 25015	_blank_	42914
263	Francisella tularensis	Francisella tularensis	41651
510831	Francisella tularensis subsp. tularensis NE061598	_blank_	42921
848	Fusobacterium		37057
859	Fusobacterium necrophorum		36819
851	Fusobacterium nucleatum		36931
860	Fusobacterium periodonticum	placeholder	45811
1236	Gammaproteobacteria	_blank_	40536
2701	Gardnerella	placeholder	43452
2702	Gardnerella vaginalis	_BLANK_	43777
1378	Gemella	placeholder	43453
1379	Gemella haemolysans	placeholder	45812
29391	Gemella morbillorum	_BLANK_	43778
84135	Gemella sanguinis	placeholder	45813
129337	Geobacillus	NULL	45508
1422	Geobacillus stearothermophilus		36826
2094023	Glaesserella	placeholder	43454
738	Glaesserella parasuis	_blank_	43288
1742989	Glutamicibacter	placeholder	43455
162496	Glutamicibacter creatinolyticus	_BLANK_	43779
644652	Gordonibacter	placeholder	43456
1335613	Gordonibacter urolithinfaciens	_BLANK_	43780
74385	Gracilibacillus	__blank__	45703
1816696	Gracilibacillus timonensis	_blank_	45664
203855	Gram-negative bacterium TC71		39591
364409	Granulibacter	null	45886
364410	Granulibacter bethesdensis	placeholder	45814
724	Haemophilus		37058
727	Haemophilus influenzae		36768
862964	Haemophilus influenzae 10810		37600
262727	Haemophilus influenzae R2846	_blank_	42593
71421	Haemophilus influenzae Rd KW20	_blank_	41640
729	Haemophilus parainfluenzae		36927
862965	Haemophilus parainfluenzae T3T1	_blank_	42651
568	Hafnia	NULL	45509
569	Hafnia alvei		36784
2239	Halobacterium	NULL	45533
2242	Halobacterium salinarum	_blank_	40807
31983	Helcococcus	Helcococcus genus	40616
40091	Helcococcus kunzii	_blank_	40615
209	Helicobacter	placeholder	43457
123841	Helicobacter canadensis	placeholder	45815
213	Helicobacter cinaedi	placeholder	45816
215	Helicobacter fennelliae	placeholder	45817
35818	Helicobacter pullorum	placeholder	45818
210	Helicobacter pylori	_blank_	36906
85962	Helicobacter pylori 26695		36758
592205	Helicobacter pylori B38	_blank_	41266
907240	Helicobacter pylori Gambia94/24		37597
992087	Helicobacter pylori Hp P-30	_blank_	45618
85963	Helicobacter pylori J99		36759
1663717	Herbinix	placeholder	43458
1679721	Herbinix luporum	_BLANK_	43781
214906	Histophilus	placeholder	43459
731	Histophilus somni	_BLANK_	43782
9606	Homo sapiens	_blank_	41246
1755691	hospital metagenome	_blank_	46170
40049	IncJ plasmid R391		36851
77644	IncQ plasmid pIE1120		36774
171673	Inquilinus	null	45887
171674	Inquilinus limosus	placeholder	45819
29580	Janthinobacterium	NULL	45511
29581	Janthinobacterium lividum		39074
1470540	Jeotgalibaca	placeholder	43460
1868794	Jeotgalibaca arthritidis	_BLANK_	43783
2496265	Jeotgalibaca ciconiae	_BLANK_	43784
1868793	Jeotgalibaca porci	_BLANK_	43785
32257	Kingella	placeholder	43461
504	Kingella kingae	_BLANK_	43786
2063	Kitasatospora	NULL	45530
1894	Kitasatospora aureofaciens	Kitasatospora aureofaciens	36813
570	Klebsiella		37059
548	Klebsiella aerogenes	Klebsiella aerogenes	36770
2153354	Klebsiella huaxiensis	_BLANK_	43787
1134687	Klebsiella michiganensis	_BLANK_	43788
571	Klebsiella oxytoca		36788
1333852	Klebsiella oxytoca KONIH1	_blank_	42700
573	Klebsiella pneumoniae		35915
1328424	Klebsiella pneumoniae BIDMC 35	_blank_	42609
574	Klebsiella pneumoniae subsp. ozaenae	Klebsiella pneumoniae subsp. ozaenae	41221
72407	Klebsiella pneumoniae subsp. pneumoniae		39097
1226680	Klebsiella pneumoniae subsp. pneumoniae Ecl8	_blank_	43250
1125630	Klebsiella pneumoniae subsp. pneumoniae HS11286	_blank_	40663
1094170	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	_blank_	43262
1328324	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	_blank_	41106
272620	Klebsiella pneumoniae subsp. pneumoniae MGH 78578		37607
484021	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	_blank_	42598
861365	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432	_blank_	43247
1463165	Klebsiella quasipneumoniae	_BLANK_	43789
576	Klebsiella sp.	Klebsiella sp.	42713
665944	Klebsiella sp. 4_1_44FAA	_blank_	42597
474576	Klebsiella sp. ARS06-441		36940
1727153	Klebsiella sp. KF07	_blank_	43556
871235	Klebsiella sp. MB45	_blank_	42456
2267618	Klebsiella sp. P1CD1	_blank_	42983
244366	Klebsiella variicola	_blank_	42612
640131	Klebsiella variicola At-22	_blank_	43310
1263083	Klebsiella variicola CAG:634	_blank_	42760
2489014	Klebsiella variicola subsp. tropica	_blank_	42976
579	Kluyvera		37060
51288	Kluyvera ascorbata		36928
2774054	Kluyvera genomosp. 2	Kluyvera genomosp. 2	45690
73098	Kluyvera georgiana		36929
1491392	Kluyvera sp. MRB7		39100
57493	Kocuria	null	45888
71999	Kocuria palustris	placeholder	45820
1330547	Kosakonia	placeholder	43462
551989	Kosakonia arachidis	_BLANK_	43790
1506553	Lachnoclostridium	placeholder	43463
1871021	Lachnoclostridium phocaeense	_BLANK_	43791
186803	Lachnospiraceae	placeholder	43464
1898203	Lachnospiraceae bacterium	placeholder	43393
1578	Lactobacillus		39608
47770	Lactobacillus crispatus	_BLANK_	43793
1596	Lactobacillus gasseri	placeholder	45821
147802	Lactobacillus iners	_BLANK_	43794
109790	Lactobacillus jensenii	placeholder	45822
33959	Lactobacillus johnsonii	Lactobacillus johnsonii	42569
257314	Lactobacillus johnsonii NCC 533	_blank_	42072
1357	Lactococcus	NULL	45515
1363	Lactococcus garvieae	_blank_	43338
1358	Lactococcus lactis		39577
1360	Lactococcus lactis subsp. lactis		39574
889971	Lactococcus lactis subsp. lactis K214		36865
2767353	Lancefieldella	null	45889
1383	Lancefieldella rimae	placeholder	45823
168470	Laribacter	placeholder	43465
168471	Laribacter hongkongensis	_blank_	41458
83654	Leclercia	placeholder	43466
83655	Leclercia adecarboxylata	_BLANK_	43795
445	Legionella		37602
28082	Legionella anisa	placeholder	45824
450	Legionella longbeachae	_blank_	42547
446	Legionella pneumophila	Legionella pneumophila	41653
866628	Legionella pneumophila 130b		36899
400673	Legionella pneumophila str. Corby		37594
297245	Legionella pneumophila str. Lens		39593
297246	Legionella pneumophila str. Paris	_blank_	41208
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	_blank_	41026
110932	Leifsonia	null	45890
1575	Leifsonia xyli	placeholder	45825
1330545	Lelliottia	NULL	46217
61646	Lelliottia amnigena	_blank_	46202
82980	Leminorella	null	45891
82981	Leminorella grimontii	placeholder	45826
171	Leptospira	null	45892
174	Leptospira borgpetersenii	placeholder	45827
173	Leptospira interrogans	placeholder	45828
28183	Leptospira santarosai	placeholder	45829
179	Leptospirillum	NULL	45517
178606	Leptospirillum ferriphilum		36814
2767887	Ligilactobacillus	NULL	45519
1605	Ligilactobacillus animalis	_BLANK_	43792
2742598	Limosilactobacillus	NULL	45531
1613	Limosilactobacillus fermentum		39560
1598	Limosilactobacillus reuteri		36855
1637	Listeria	blank	40459
1642	Listeria innocua	_blank_	41029
1639	Listeria monocytogenes		36757
169963	Listeria monocytogenes EGD-e	_blank_	40443
393126	Listeria monocytogenes FSL R2-561	_blank_	42702
1918538	Longibaculum	placeholder	43467
242605	Luteibacter	placeholder	43468
2589080	Luteibacter pinisoli	_BLANK_	43796
83614	Luteimonas	placeholder	43469
400634	Lysinibacillus	NULL	45521
1421	Lysinibacillus sphaericus		36828
68	Lysobacter	placeholder	43470
2698682	Lysobacter oculi	_BLANK_	43797
69965	Macrococcus	placeholder	43471
1855823	Macrococcus canis	_blank_	43299
69966	Macrococcus caseolyticus		40025
13134	Magnetospirillum	placeholder	43472
2791001	Malacoplasma	null	45893
28227	Malacoplasma penetrans	placeholder	45830
2803850	Mammaliicoccus	NULL	45522
150056	Mammaliicoccus fleurettii	_blank_	42526
42858	Mammaliicoccus lentus		39555
1296	Mammaliicoccus sciuri		36794
147467	Mammaliicoccus sciuri	_blank_	40406
643214	Mammaliicoccus stepanovicii		39533
75984	Mannheimia		39609
75985	Mannheimia haemolytica		39540
85404	Mannheimia varigena		39541
149698	Massilia	placeholder	43473
1620220	Massilia sp. SB1-3		40282
2717089	Massilistercora	placeholder	43474
2086584	Massilistercora timonensis	_BLANK_	43798
906	Megasphaera	placeholder	43475
907	Megasphaera elsdenii		36809
2144175	Megasphaera stantonii	_BLANK_	43799
68287	Mesorhizobium	placeholder	43477
408169	metagenome	_blank_	46172
2282523	Methylorubrum	placeholder	43478
223967	Methylorubrum populi	_BLANK_	43800
1269	Micrococcus		37083
1270	Micrococcus luteus		36878
526920	Micrococcus sp. SMCC G887		37079
1873	Micromonospora		39610
1874	Micromonospora chalcea		39506
28040	Micromonospora griseorubida		39571
1878	Micromonospora rosea	_blank_	42725
1879	Micromonospora zionensis	_blank_	40607
383994	Mini-Tn7 delivery vector pUC18T-mini-Tn7T-Zeo-gfpmut3		36817
663108	mixed culture bacterium AX_gF3SD01_15		39659
663178	mixed culture bacterium PE_gF3SD01_32	_blank_	43623
2050	Mobiluncus	null	45894
2052	Mobiluncus mulieris	placeholder	45831
475	Moraxella	placeholder	43479
480	Moraxella catarrhalis	_blank_	41250
857580	Moraxella catarrhalis ATCC 43617	_blank_	42876
1236608	Moraxella catarrhalis BBH18	_blank_	42626
857576	Moraxella catarrhalis BC1	_blank_	41683
34062	Moraxella osloensis	_blank_	42478
470453	Moraxella pluranimalium	_blank_	42209
1288392	Moraxella porci	Null	45499
573983	Moraxella porci DSM 25326	_blank_	43280
1935432	Moraxella sp. MSG13-C03	_blank_	42215
1935434	Moraxella sp. MSG47-C17	_blank_	42207
1775913	Moraxella sp. RCAD0137	_blank_	43282
581	Morganella	_blank_	40137
582	Morganella morganii		36917
180434	Morganella morganii subsp. morganii	Morganella morganii subsp. morganii	41222
1124991	Morganella morganii subsp. morganii KT		40075
180435	Morganella morganii subsp. sibonii	Morganella morganii subsp. sibonii	42711
2005473	Muribaculaceae	placeholder	43480
2498093	Muribaculaceae bacterium	_BLANK_	43844
1763	Mycobacterium		37061
1764	Mycobacterium avium		39582
243243	Mycobacterium avium 104	_blank_	46240
339268	Mycobacterium colombiense	placeholder	45832
134601	Mycobacterium goodii	Mycolicibacterium goodii	36885
1767	Mycobacterium intracellulare	_blank_	41317
1768	Mycobacterium kansasii	_blank_	41347
1769	Mycobacterium leprae		40074
272631	Mycobacterium leprae TN		40083
480418	Mycobacterium lepromatosis	placeholder	45833
1781	Mycobacterium marinum	placeholder	45834
1773	Mycobacterium tuberculosis		36959
83331	Mycobacterium tuberculosis CDC1551		37081
77643	Mycobacterium tuberculosis complex	_blank_	40414
419947	Mycobacterium tuberculosis H37Ra	_blank_	40415
83332	Mycobacterium tuberculosis H37Rv		39507
1097669	Mycobacterium tuberculosis UT205	_blank_	40468
1765	Mycobacterium tuberculosis variant bovis	Mycobacterium tuberculosis variant bovis	40133
233413	Mycobacterium tuberculosis variant bovis AF2122/97	Mycobacterium tuberculosis variant bovis AF2122/97	40081
717522	Mycobacterium tuberculosis variant bovis BCG str. Mexico	Mycobacterium tuberculosis variant bovis BCG str. Mexico	40084
410289	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	_blank_	40462
1809	Mycobacterium ulcerans	placeholder	45835
670516	Mycobacteroides	Null	45502
36809	Mycobacteroides abscessus	Mycobacteroides abscessus	36888
1168066	Mycobacteroides abscessus subsp. bolletii F1725	_blank_	46118
1774	Mycobacteroides chelonae	Mycobacteroides chelonae	41314
1866885	Mycolicibacterium	Null	45504
1766	Mycolicibacterium fortuitum	Mycolicibacterium fortuitum	36886
53462	Mycolicibacterium mageritense	_blank_	42568
98668	Mycolicibacterium septicum	placeholder	45836
1772	Mycolicibacterium smegmatis	Mycolicibacterium smegmatis	36871
246196	Mycolicibacterium smegmatis MC2 155	Mycolicibacterium smegmatis MC2 155	36769
2093	Mycoplasma	_blank_	40312
2095	Mycoplasma capricolum	placeholder	45837
2096	Mycoplasma gallisepticum	_blank_	42013
710127	Mycoplasma gallisepticum str. R(low)	_blank_	41282
2097	Mycoplasma genitalium	Mycoplasma genitalium	42595
243273	Mycoplasma genitalium G37	_blank_	42585
2098	Mycoplasma hominis	_blank_	40311
347256	Mycoplasma hominis ATCC 23114	_blank_	40300
2102	Mycoplasma mycoides	_BLANK_	43801
2104	Mycoplasma pneumoniae	_blank_	41332
272634	Mycoplasma pneumoniae M129	Mycoplasma pneumoniae M129	41036
2767358	Mycoplasmopsis	Null	45512
2115	Mycoplasmopsis fermentans		42570
496833	Mycoplasmopsis fermentans PG18	_blank_	41329
76831	Myroides		39103
2562892	Myroides albus	_blank_	46201
76832	Myroides odoratimimus		39072
256	Myroides odoratus	_blank_	45473
929704	Myroides odoratus DSM 2801		39073
702745	Myroides phaeus	_BLANK_	43802
32	Myxococcus	_blank_	45474
482	Neisseria		37062
2666100	Neisseria brasiliensis	_BLANK_	43803
484	Neisseria flavescens	placeholder	45838
485	Neisseria gonorrhoeae		36806
242231	Neisseria gonorrhoeae FA 1090	_blank_	40638
521006	Neisseria gonorrhoeae NCCP11945		37080
487	Neisseria meningitidis		36753
122586	Neisseria meningitidis MC58		39597
122587	Neisseria meningitidis Z2491		36801
490	Neisseria sicca	placeholder	45839
28449	Neisseria subflava	placeholder	45840
2837506	Niallia	Null	45513
1397	Niallia circulans		36858
914	Nitrosomonas	A genus of gram-negative, rod-shaped and chemoautotrophic	43381
915	Nitrosomonas europaea	A species of gram-negative, rod-shaped and chemoautotrophic	43380
1817	Nocardia	Null	45514
209252	Nocardia asiatica	placeholder	45841
1824	Nocardia asteroides	_blank_	42852
290231	Nocardia exalbida	placeholder	45842
37329	Nocardia farcinica	_blank_	42902
247156	Nocardia farcinica IFM 10152	_blank_	41346
455432	Nocardia terpenica	placeholder	45843
90243	Oligella	Null	45516
90245	Oligella urethralis		36930
69474	Orientia	Null	45518
784	Orientia tsutsugamushi		36857
1921582	Orrella	placeholder	43481
1851544	Orrella dioscoreae	_BLANK_	43804
28384	other sequences	Definition needed.	36756
44249	Paenibacillus		39557
46240	Paenibacillus apiarius		39548
61624	Paenibacillus mucilaginosus	placeholder	45844
78057	Paenibacillus popilliae		36874
1212764	Paenibacillus popilliae ATCC 14706		39542
1120679	Paenibacillus sp. LC231	_blank_	40862
481743	Paenibacillus sp. Y412MC10	_blank_	40613
1849828	Paeniclostridium	null	45895
1505	Paeniclostridium sordellii	placeholder	45845
93217	Pandoraea	placeholder	43482
93218	Pandoraea apista	_blank_	42785
93219	Pandoraea norimbergensis	_blank_	42788
93220	Pandoraea pnomenusa		36932
93221	Pandoraea pulmonicola	_blank_	42787
93222	Pandoraea sputorum	_blank_	42786
1705920	Pandoraea sp. Va8523	_blank_	42789
227873	Pannonibacter	null	45896
121719	Pannonibacter phragmitetus	placeholder	45846
53335	Pantoea		37063
549	Pantoea agglomerans		36950
706191	Pantoea ananatis LMG 20103		36895
375288	Parabacteroides	placeholder	43483
823	Parabacteroides distasonis		39660
1822464	Paraburkholderia	placeholder	43484
265	Paracoccus	placeholder	43485
266	Paracoccus denitrificans	placeholder	43389
135740	Paracoccus kondratievae	_BLANK_	43805
196082	Parascardovia	null	45897
78258	Parascardovia denticolens	placeholder	45847
543311	Parvimonas	placeholder	43486
33033	Parvimonas micra	_BLANK_	43806
745	Pasteurella	placeholder	43487
747	Pasteurella multocida		36867
1075089	Pasteurella multocida 36950		39783
122277	Pectobacterium	placeholder	43488
1905730	Pectobacterium parmentieri	_BLANK_	43807
84567	Pedobacter	_blank_	40431
1620221	Pedobacter sp. ALS-14		40284
1620222	Pedobacter sp. SI-33		40283
1620223	Pedobacter sp. Stok-3		40285
2743582	Peptacetobacter	Null	45523
89152	Peptacetobacter hiranonis	_BLANK_	43755
162289	Peptoniphilus	placeholder	43489
54005	Peptoniphilus harei	_BLANK_	43808
909656	Phocaeicola	placeholder	43490
357276	Phocaeicola dorei	_BLANK_	43809
204516	Phocaeicola massiliensis	placeholder	45848
821	Phocaeicola vulgatus	_BLANK_	39546
1981050	Phoenicibacter	placeholder	43491
1944646	Phoenicibacter congonensis	_BLANK_	43810
657	Photobacterium	_blank_	40432
38293	Photobacterium damselae	Photobacterium damselae	40435
85581	Photobacterium damselae subsp. damselae	Photobacterium damselae subsp. damselae	40398
38294	Photobacterium damselae subsp. piscicida	Photobacterium damselae subsp. piscicida	39539
74109	Photobacterium profundum	A species of psychrophilic and piezophilic gram-negative bacteria	43382
29487	Photorhabdus	null	45898
291112	Photorhabdus asymbiotica	placeholder	45849
447792	Phytobacter	placeholder	43492
1972252	Phytobacter sp.	Miscellaneous uncharacterized species of the genus Phytobacter	43391
29298	Planobispora	Null	45534
35762	Planobispora rosea	_blank_	40395
2457	Plasmid ColV-K30		36831
2468	Plasmid NR79		36872
2524	Plasmid pAM77		39559
2525	Plasmid pAZ1		36820
2474	Plasmid PDS075	_blank_	45475
36542	Plasmid pE5		39567
28406	Plasmid pGT633		36841
2568	Plasmid pIM13		36893
2569	Plasmid pIP1100	_blank_	42618
2571	Plasmid pIP1527		39561
2578	Plasmid pJHC-MW1		39509
28412	Plasmid pLMO229		36861
2609	Plasmid pNG2		36836
2613	Plasmid pNS1		36829
2616	Plasmid pRA1		36824
2624	Plasmid pSBK203		39538
2641	Plasmid pTB913	_blank_	46192
2655	Plasmid pUB110		36832
28425	Plasmid pWP113a		39505
28427	Plasmid pWP14a		36860
167474	Plasmid pWW100		39077
2508	Plasmid R		39508
2477	Plasmid R1033		39504
2483	Plasmid R26		39550
2486	Plasmid R387		39545
2488	Plasmid R46		36846
2499	Plasmid RGN238		39778
2503	Plasmid RP4		39529
36549	plasmids	Definition needed.	36866
702	Plesiomonas	null	45899
703	Plesiomonas shigelloides	placeholder	45850
4753	Pneumocystis	Null	45535
42068	Pneumocystis jirovecii	Pneumocystis jirovecii	41654
836	Porphyromonas	Null	45536
837	Porphyromonas gingivalis	Null	45537
431947	Porphyromonas gingivalis ATCC 33277	_blank_	40629
838	Prevotella	placeholder	43493
305719	Prevotella baroniae	_blank_	45704
1115809	Prevotella baroniae F0067	_blank_	45681
28125	Prevotella bivia	_blank_	45684
28131	Prevotella intermedia		39547
140679	Promoter probe vector pPROBE'-gfp[tagless]		36869
31957	Propionibacteriaceae	_blank_	41661
1743	Propionibacterium	_blank_	40780
1744	Propionibacterium freudenreichii	_blank_	41309
1085622	Propioniciclava	placeholder	43494
1224	Proteobacteria	_blank_	40546
583	Proteus		37064
1987580	Proteus columbae	_BLANK_	43811
1311820	Proteus genomosp. 6	_blank_	43258
584	Proteus mirabilis		36771
1266738	Proteus mirabilis BB2000		37606
529507	Proteus mirabilis HI4320	Proteus mirabilis HI4320	40659
102862	Proteus penneri	Proteus penneri	41223
1009030	Proteus sp. VIITMP5	Proteus sp. VIITMP5	45688
626774	Proteus terrae subsp. cibarius	placeholder	43845
585	Proteus vulgaris		36943
586	Providencia		37065
126385	Providencia alcalifaciens	placeholder	45851
333962	Providencia heimbachae	_BLANK_	43812
587	Providencia rettgeri		36944
235468	Providencia sp. 4440		36924
1617397	Providencia sp. Y14	_blank_	42580
588	Providencia stuartii		36946
2755140	Pseudoleptotrichia	null	45900
157692	Pseudoleptotrichia goodfellowii	placeholder	45852
286	Pseudomonas		37066
287	Pseudomonas aeruginosa		36752
1081927	Pseudomonas aeruginosa PA103	_blank_	40954
1457392	Pseudomonas aeruginosa PA96	Pseudomonas aeruginosa PA96	40337
1009714	Pseudomonas aeruginosa PAK		39594
208964	Pseudomonas aeruginosa PAO1		36804
208963	Pseudomonas aeruginosa UCBPP-PA14	_blank_	41722
43263	Pseudomonas alcaligenes	_blank_	45942
1940621	Pseudomonas alloputida	_blank_	46213
930166	Pseudomonas brassicacearum	_BLANK_	43813
587753	Pseudomonas chlororaphis	_BLANK_	43814
294	Pseudomonas fluorescens		36937
198620	Pseudomonas koreensis	_BLANK_	43815
300	Pseudomonas mendocina	placeholder	45853
76759	Pseudomonas monteilii	_BLANK_	43816
303	Pseudomonas putida		36803
306	Pseudomonas sp.		36778
2741068	Pseudomonas sp. BF61	_blank_	45494
258476	Pseudomonas sp. MCI3434		36754
316	Pseudomonas stutzeri		36856
47883	Pseudomonas synxantha	_BLANK_	43817
317	Pseudomonas syringae		37078
321	Pseudomonas syringae pv. syringae		36848
2725477	Pseudomonas tohonis	_blank_	45944
2906062	Pseudomonas wenzhouensis	_blank_	45649
83618	Pseudoxanthomonas	_blank_	46124
69284	Pseudoxanthomonas japonensis	_blank_	46123
497	Psychrobacter	_BLANK_	45501
256325	Psychrobacter maritimus		39652
48736	Ralstonia	_BLANK_	45510
190721	Ralstonia insidiosa	_blank_	43682
105219	Ralstonia mannitolilytica	_blank_	42837
329	Ralstonia pickettii		36921
305	Ralstonia solanacearum	placeholder	45854
160674	Raoultella	Raoultella	41224
54291	Raoultella ornithinolytica	Raoultella ornithinolytica	45686
575	Raoultella planticola	Raoultella planticola	41225
1873496	Raoultella sp.	_blank_	46132
577	Raoultella terrigena		39585
67575	Rheinheimera	placeholder	43495
2545632	Rheinheimera sp. D18	_blank_	43707
379	Rhizobium	placeholder	43496
384	Rhizobium leguminosarum	_BLANK_	43818
75309	Rhodanobacter	placeholder	43497
582702	Rhodanobacter glycinis	_BLANK_	43819
1060	Rhodobacter	_BLANK_	45520
31989	Rhodobacteraceae	placeholder	43498
1904441	Rhodobacteraceae bacterium	placeholder	43846
1061	Rhodobacter capsulatus		40171
1827	Rhodococcus		39611
1828	Rhodococcus fascians		39552
43767	Rhodococcus hoagii	Rhodococcus hoagii	36897
103816	Rhodococcus pyridinivorans	_BLANK_	43820
1829	Rhodococcus rhodochrous		39553
1073	Rhodopseudomonas	placeholder	43499
1076	Rhodopseudomonas palustris	placeholder	43387
780	Rickettsia	_BLANK_	45524
781	Rickettsia conorii	placeholder	45855
37816	Rickettsia honei	placeholder	45856
782	Rickettsia prowazekii	Rickettsia prowazekii	41655
783	Rickettsia rickettsii	_blank_	41919
785	Rickettsia typhi	placeholder	45857
34084	Riemerella	placeholder	43500
34085	Riemerella anatipestifer		36951
1271752	Riemerella anatipestifer RA-CH-2	_blank_	46175
992406	Riemerella anatipestifer RA-GD	_blank_	43303
841	Roseburia	placeholder	43501
301301	Roseburia hominis	_BLANK_	43821
32207	Rothia	null	45901
43675	Rothia mucilaginosa	placeholder	45858
1263	Ruminococcus	placeholder	43502
1905344	Ruthenibacterium	placeholder	43503
1550024	Ruthenibacterium lactatiformans	_BLANK_	43822
1835	Saccharopolyspora	_BLANK_	45525
1836	Saccharopolyspora erythraea	_BLANK_	45526
405948	Saccharopolyspora erythraea NRRL 2338		36902
2071	Saccharothrix	__blank__	45702
33921	Saccharothrix mutabilis	Saccharothrix mutabilis	45708
66854	Saccharothrix mutabilis subsp. capreolus	_blank_	45638
590	Salmonella		37067
54736	Salmonella bongori		36818
28901	Salmonella enterica		35672
59203	Salmonella enterica subsp. arizonae		35718
523833	Salmonella enterica subsp. arizonae serovar 41:z4,z23:- str. ATCC BAA-1577	Salmonella enterica subsp. arizonae serovar 41:z4,z23:- str. ATCC BAA-1577	35880
41514	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	35689
59204	Salmonella enterica subsp. diarizonae		35719
41512	Salmonella enterica subsp. diarizonae serovar 50:k:z	Salmonella enterica subsp. diarizonae serovar 50:k:z	35688
523839	Salmonella enterica subsp. diarizonae str. ATCC BAA-1579		35886
59201	Salmonella enterica subsp. enterica		35716
486987	Salmonella enterica subsp. enterica serovar '02-6026 18:1 v-z-Arizona'		35845
353569	Salmonella enterica subsp. enterica serovar 4,12:i:-	Salmonella enterica subsp. enterica serovar 4,12:i:-	35807
440524	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-		35830
440534	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701		35831
260367	Salmonella enterica subsp. enterica serovar Aberdeen		35780
29482	Salmonella enterica subsp. enterica serovar Abony		35683
607	Salmonella enterica subsp. enterica serovar Abortusequi		35662
53961	Salmonella enterica subsp. enterica serovar Abortusovis		35701
596157	Salmonella enterica subsp. enterica serovar Abortusovis str. SSM0041		35909
29473	Salmonella enterica subsp. enterica serovar Adelaide		35674
399581	Salmonella enterica subsp. enterica serovar Agama		35815
58095	Salmonella enterica subsp. enterica serovar Agona		35709
454166	Salmonella enterica subsp. enterica serovar Agona str. SL483		35834
211968	Salmonella enterica subsp. enterica serovar Albany		35772
593904	Salmonella enterica subsp. enterica serovar Amsterdam	Salmonella enterica subsp. enterica serovar Amsterdam	35905
58712	Salmonella enterica subsp. enterica serovar Anatum		35715
486988	Salmonella enterica subsp. enterica serovar Arechavaleta		35846
486989	Salmonella enterica subsp. enterica serovar Arizona		35847
47066	Salmonella enterica subsp. enterica serovar Austin		35699
181735	Salmonella enterica subsp. enterica serovar Azteca		35756
34039	Salmonella enterica subsp. enterica serovar Banana		35684
58096	Salmonella enterica subsp. enterica serovar Bareilly		35710
260368	Salmonella enterica subsp. enterica serovar Bergen		35781
28142	Salmonella enterica subsp. enterica serovar Berta		35665
399582	Salmonella enterica subsp. enterica serovar Binza		35816
399583	Salmonella enterica subsp. enterica serovar Blegdam		35817
57741	Salmonella enterica subsp. enterica serovar Blockley		35706
589371	Salmonella enterica subsp. enterica serovar Bonn		35904
55400	Salmonella enterica subsp. enterica serovar Borreze		35703
58097	Salmonella enterica subsp. enterica serovar Bovismorbificans		35711
149391	Salmonella enterica subsp. enterica serovar Braenderup		35749
149387	Salmonella enterica subsp. enterica serovar Brandenburg		35745
565036	Salmonella enterica subsp. enterica serovar Brandenburg str. KMR12		35892
134047	Salmonella enterica subsp. enterica serovar Bredeney		35739
28143	Salmonella enterica subsp. enterica serovar Budapest		35666
152690	Salmonella enterica subsp. enterica serovar Bury		35751
29474	Salmonella enterica subsp. enterica serovar California		35675
340188	Salmonella enterica subsp. enterica serovar Cerro		35803
149386	Salmonella enterica subsp. enterica serovar Chester		35744
58099	Salmonella enterica subsp. enterica serovar Chingola		35712
