Original ID	ARO	Gene Name in CARD	Description
674651835|CDY80020.1|1|1|LHR_hsp20A|LHR_hsp20A||1|||small_heat_shock_protein_sHSP20			General stress response/Virulence gene
73476899|AAZ76514.1|1|1|espP|espP||1|||serine_protease_autotransporter_EspP			General stress response/Virulence gene
755408432|AJJ21446.1|1|1|yopM|yopM||1|||type_III_secretion_system_effector_YopM			General stress response/Virulence gene
760237696|AJP10335.1|1|1|tcdR|tcdR||1|||glycosylating_toxin_sigma_factor_TcdR			General stress response/Virulence gene
760237700|AJP10339.1|1|1|tcdA|tcdA||1|||glycosylating_toxin_TcdA			General stress response/Virulence gene
812239686|CNC65351.1|1|1|yadA|yadA||1|||trimeric_autotransporter_adhesin_YadA			General stress response/Virulence gene
81240477|ABB61187.1|1|1|iroN|iroN||1|||siderophore_salmochelin_receptor_IroN			General stress response/Virulence gene
817048098|AKF16652.1|1|1|netF|netF||1|||necrotizing_enteritis_toxin_NetF			General stress response/Virulence gene
821787072|KLB41245.1|1|1|copL|copL||1|COPPER|COPPER|transcriptional_regulator_CopL			Metal resistance gene
83308567|CAI79539.1|1|1|eatA|eatA||1|||serine_protease_autotransporter_toxin_EatA			General stress response/Virulence gene
844574223|AKN09807.1|1|1|yopJ_gen|yopJ_gen||1|||YopJ/YopP_family_T3SS_effector_serine/threonine_acetyltransferase			General stress response/Virulence gene
85676543|BAE77793.1|1|1|arsR_K-12|arsR_K-12||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR			Metal resistance gene
86753172|ABD14714.1|1|1|cesD|cesD||1|||cereulide_export_ABC_transporter_permease_subunit_CesD			General stress response/Virulence gene
886953|CAA88252.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
91075443|ABE10324.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
94480755|CAK02719.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
991872253|AMG40538.1|1|1|sel|sel||1|||staphylococcal_enterotoxin_type_L			General stress response/Virulence gene
997194215|CXT91862.1|1|1|sel33|sel33||1|||staphylococcal_enterotoxin_type_33			General stress response/Virulence gene
215264243|CAS08589.1|1|1|nleB2|nleB2||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB2			General stress response/Virulence gene
986931|AAB59153.1|1|1|cadC_Sa|cadC_Sa||1|CADMIUM/LEAD/ZINC|CADMIUM/LEAD/ZINC|Cd(II)/Pb(II)/Zn(II)-sensing_metalloregulatory_transcriptional_repressor_CadC			Metal resistance gene
23630581|AAN37537.1|1|1|yopJ_gen|yopJ_gen||1|||YopJ/YopP_family_T3SS_effector_serine/threonine_acetyltransferase			General stress response/Virulence gene
169123155|ACA46990.1|1|1|bont_B1|bont_B1||1|||botulinum_neurotoxin_subtype_B1			General stress response/Virulence gene
871816|AAA69514.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
531399|AAA57453.1|1|1|aggB|aggB||1|||aggregative_adherence_fimbria_I_minor_subunit_AggB			General stress response/Virulence gene
325048864|BAJ79296.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA			General stress response/Virulence gene
12518439|AAG58818.1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB			General stress response/Virulence gene
51449798|AAU01878.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
195957623|ACG59732.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA			General stress response/Virulence gene
5702378|AAD47284.1|1|1|terZ|terZ||1|TELLURIUM|TELLURIUM|tellurium_resistance-associated_protein_TerZ			Metal resistance gene
3414888|AAC31499.1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB			General stress response/Virulence gene
325699397|ADZ45128.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
18147025|BAB82994.1|1|1|stxA2b|stxA2b||1|STX2B|STX2|Shiga_toxin_Stx2b_subunit_A			General stress response/Virulence gene
1232058|AAA92618.1|1|1|f17a|f17a||1|||F17A_fimbrial_adhesin			General stress response/Virulence gene
29896768|AAP10046.1|1|1|hblB|hblB||1|||hemolytic_enterotoxin_HBL_binding_subunit_HblB			General stress response/Virulence gene
27549252|AAO17297.1|1|1|eatA|eatA||1|||serine_protease_autotransporter_toxin_EatA			General stress response/Virulence gene
110681652|BAE98281.1|1|1|bfpA|bfpA||1|||bundle-forming_pilus_major_subunit_BfpA			General stress response/Virulence gene
150727|AAA25636.1|1|1|arsR_pI258|arsR_pI258||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR			Metal resistance gene
1181183|AAA86846.1|1|1|terZ|terZ||1|TELLURIUM|TELLURIUM|tellurium_resistance-associated_protein_TerZ			Metal resistance gene
62085756|AAX63270.1|1|1|fedF|fedF||1|||F18_fimbrial_adhesin_subunit_FedF			General stress response/Virulence gene
6090818|AAF03351.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF			General stress response/Virulence gene
215044|AAA98099.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
150634|AAA98223.1|1|1|MerP_Gneg|MerP_Gneg||1|MERCURY|MERCURY|mercury_resistance_system_periplasmic_binding_protein_MerP			Metal resistance gene
32400302|BAC78639.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
500246546|WP_011906899.1|1|1|estDL136|estDL136||2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol_hydrolase	3000249	chloramphenicol phosphotransferase	Closest match to ARO term, however, chloramphenicol hydrolase not in CARD
195957621|ACG59730.1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB			General stress response/Virulence gene
282165972|ADA79992.1|1|1|merT_pI258|merT_pI258||1|MERCURY|MERCURY|mercuric_transport_protein_MerT			Metal resistance gene
760237698|AJP10337.1|1|1|tcdE|tcdE||1|||holin-like_glycosylating_toxin_export_protein_TcdE			General stress response/Virulence gene
228698261|EEL50994.1|1|1|entFM|entFM||1|||enterotoxin_EntFM			General stress response/Virulence gene
253721162|ACT33471.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
4335904|AAD17509.1|1|1|f17a|f17a||1|||F17A_fimbrial_adhesin			General stress response/Virulence gene
41157|CAA34816.1|1|1|cstB|cstB||1|||CS3_fimbrial_usher_protein_CstB			General stress response/Virulence gene
152935704|ABS41202.1|1|1|bont_F1|bont_F1||1|||botulinum_neurotoxin_subtype_F1			General stress response/Virulence gene
121308157|CAM11315.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
15207766|BAB62897.1|1|1|cofA|cofA||1|||type_4b_pilus_CFA/III_major_pilin_CofA			General stress response/Virulence gene
290430|AAA23736.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
495647|AAA25276.1|1|1|cadC_Lm|cadC_Lm||1|CADMIUM|CADMIUM|Cd(II)-sensing_metalloregulatory_transcriptional_repressor_CadC			Metal resistance gene
658417288|KEJ01913.1|1|1|bont_F8|bont_F8||1|||botulinum_neurotoxin_subtype_F8			General stress response/Virulence gene
550334|CAA85780.1|1|1|stxA2a|stxA2a||1|STX2A|STX2|Shiga_toxin_Stx2a_subunit_A			General stress response/Virulence gene
147833|AAA71893.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
282160591|ADA79575.1|1|1|bont_F3|bont_F3||1|||botulinum_neurotoxin_subtype_F3			General stress response/Virulence gene
164457631|BAF96538.1|1|1|nleB2|nleB2||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB2			General stress response/Virulence gene
1129095|AAA83975.1|1|1|merT_RC607|merT_RC607||1|MERCURY|MERCURY|mercuric_transport_protein_MerT			Metal resistance gene
78214792|ABB36586.1|1|1|stxA2d|stxA2d||1|STX2D|STX2|Shiga_toxin_Stx2d_subunit_A			General stress response/Virulence gene
153006|AAA26625.1|1|1|eta|eta||1|||exfoliative_toxin_A			General stress response/Virulence gene
2465785|AAC45722.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
1255553|BAA06852.1|1|1|cpa|cpa||1|||alpha-toxin			General stress response/Virulence gene
3337015|BAA31774.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
73856581|AAZ89288.1|1|1|senB|senB||1|||enterotoxin_production-related_protein_TieB			General stress response/Virulence gene
18147031|BAB82998.1|1|1|stxA2b|stxA2b||1|STX2B|STX2|Shiga_toxin_Stx2b_subunit_A			General stress response/Virulence gene
0|MBY0597968.1|1|1|entFM|entFM||1|||enterotoxin_EntFM			General stress response/Virulence gene
121308161|CAM11317.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
4877347|BAA77749.1|1|1|stxA2b|stxA2b||1|STX2B|STX2|Shiga_toxin_Stx2b_subunit_A			General stress response/Virulence gene
153002|AAA26617.1|1|1|see|see||1|||staphylococcal_enterotoxin_type_E			General stress response/Virulence gene
62085704|AAX63244.1|1|1|fedF|fedF||1|||F18_fimbrial_adhesin_subunit_FedF			General stress response/Virulence gene
18147034|BAB83000.1|1|1|stxA2b|stxA2b||1|STX2B|STX2|Shiga_toxin_Stx2b_subunit_A			General stress response/Virulence gene
1788757044|QHA94809.1|1|1|narB|narB||1|MADURAMICIN/NARASIN/SALINOMYCIN|IONOPHORE|ionophore_ABC_transporter_permease_subunit_NarB			Ionophore antibiotic resistance gene (conferring resistance to narasin, salinomycin, and maduramicin). Gene not in CARD. No mapping available. https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2020.00104/full
219881591|ACL51961.1|1|1|ehxA|ehxA||1|||enterohemolysin_EhxA			General stress response/Virulence gene
918399751|BAS21358.1|1|1|sey|sey||1|||staphylococcal_enterotoxin_type_Y			General stress response/Virulence gene
284924617|CBG27800.1|1|1|aafA|aafA||1|||aggregative_adherence_fimbria_II_major_subunit_AafA			General stress response/Virulence gene
4335916|AAD17515.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
108743114|CAJ76690.1|1|1|stxA1a|stxA1a||1|STX1A|STX1|Shiga_toxin_Stx1a_subunit_A			General stress response/Virulence gene
1028083999|WP_063842967.1|1|1|ble-Sv|ble-Sv|sequestration|2|BLEOMYCIN|BLEOMYCIN|BLMA_family_bleomycin_binding_protein	3001205		Previously mapped to ARO:3003067 (smeS) by RGI.
1028084030|WP_063842998.1|1|1|ble-Sh|ble-Sh|sequestration|2|BLEOMYCIN|BLEOMYCIN|phleomycin/bleomycin_binding_protein_Ble-Sh	3001205		Previously mapped to ARO:3004660 (catB11) by RGI.
1028084238|WP_063843206.1|1|1|blmB|blmB|acetyltransferase|2|BLEOMYCIN|BLEOMYCIN|bleomycin_family_antibiotic_N-acetyltransferase_BlmB	3001205		Previously mapped to ARO:3003989 (AAC(6')-34) by RGI.
1028097838|WP_063854493.1|1|1|nshR|nshR|target_modification|2|THIOSTREPTON|THIOSTREPTON|NshR_family_nosiheptide/thiostrepton_resistance_23S_rRNA_methyltransferase	3003060		nshR and tsnR gene are related. https://www.ncbi.nlm.nih.gov/gene/40831129
1028098183|WP_063854743.1|1|1|SMR_efflux_smr|SMR_efflux_smr|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_SMR_transporter_Smr	0010003		Previously mapped to ARO:3003063 (ykkC) by RGI
1105502106|WP_071846258.1|1|1|SMR_efflux_smr|SMR_efflux_smr|efflux|2|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_SMR_transporter_Smr	0010003		Previously mapped to ARO:3003063 (ykkC) by RGI
1114603964|WP_072081991.1|1|1|blmA|blmA|sequestration|2|BLEOMYCIN|BLEOMYCIN|bleomycin_binding_protein_BLMA	3001205		Previously mapped to ARO:3007371 (FosA8) by RGI
1339868820|WP_103663397.1|1|1|sulX|sulX||2|SULFONAMIDE|SULFONAMIDE|sulfonamide_monooxygenase_SulX	3004238		Previously mapped to ARO:3002423 (OKP-A-6) by RGI
1787413|AAC74250.1|1|1|ariR|ariR||1|||biofilm/acid-resistance_regulator_AriR	3000838		Previously mapped to ARO:3003049 (rosB) by RGI
489821492|WP_003725292.1|1|1|SMR_efflux_bcrC|SMR_efflux_bcrC|efflux|2|BACITRACIN|BACITRACIN|quaternary_ammonium_compound_efflux_SMR_transporter_BcrC	3003250		Previously mapped to ARO:3007014 (qacJ) by RGI
489821494|WP_003725293.1|1|1|SMR_efflux_bcrB|SMR_efflux_bcrB|efflux|2|BACITRACIN|BACITRACIN|quaternary_ammonium_compound_efflux_SMR_transporter_BcrB	3003250		Previously mapped to ARO:3007014 (qacJ) by RGI
491775962|WP_005592781.1|1|1|tet(34)|tet(34)|enzymatic|2|TETRACYCLINE|TETRACYCLINE|oxytetracycline_resistance_phosphoribosyltransferase_domain-containing_protein_Tet(34)	3002870		Previously mapped to ARO:3007840 (CIM-1) by RGI
499291057|WP_010982315.1|1|1|cpt|cpt|phosphotransferase|2|CHLORAMPHENICOL|PHENICOL|chloramphenicol_phosphotransferase_CPT	3000249		Previously mapped to ARO:3003111 (lsaB) by RGI.
499429506|WP_011116970.1|1|1|tetAB_B|tetAB_B|efflux|2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_ABC_transporter_TetAB_subunit_B	3000166		Previously mapped to ARO:3002522 (novA) by RGI
738346930|WP_036299413.1|1|1|sulR|sulR||2|SULFONAMIDE|SULFONAMIDE|flavin_reductase_SulR	3004238		(https://pubmed.ncbi.nlm.nih.gov/30928844/) it seems that this gene is for microbacterium which is gram-positive. Sul 1, 2, 3, and 4 in CARD are all for gram-negative bacteria
918359733|WP_052413892.1|1|1|tcmA|tcmA||2|TETRACENOMYCIN|TETRACENOMYCIN|tetracenomycin_C_efflux_MFS_transporter	3003554		Previously mapped to ARO:3004577 (Acinetobacter baumannii AmvA) by RGI
919906410|WP_052905207.1|1|1|grdA|grdA||2|GENTAMICIN|AMINOGLYCOSIDE|gentamicin_resistance_ATP-binding_protein_GrdA	3002528		https://pmc.ncbi.nlm.nih.gov/articles/PMC7577141/#:~:text=The%20grdA%20gene%20identified%20in,protein%20likely%20binds%20to%20ATP.
0|WP_000064875.1|1|1|lpxA|lpxA|mutation|2|||acyl-ACP--UDP-N-acetylglucosamine_O-acyltransferase_LpxA	3003573		Previously mapped to ARO:3002675 (catB2) by RGI
0|WP_000159119.1|1|1|cdsA|cdsA|mutation|2|||phosphatidate_cytidylyltransferase_CdsA	3004096		Previously mapped to ARO:3000804 (MexF) by RGI
0|WP_000161505.1|1|1|pmrA|pmrA|mutation|2|||two-component_system_response_regulator_PmrA	3000822		Previously mapped to ARO:3000838 (arlR) by RGI
0|WP_000167936.1|1|1|folP|folP|mutation|2|||dihydropteroate_synthase	3000226		Previously mapped to ARO:3004361 (sul4) by RGI
0|WP_000240700.1|1|1|lpxC|lpxC|mutation|2|||UDP-3-O-acyl-N-acetylglucosamine_deacetylase_LpxC	3003574		Previously mapped to ARO:3007062 (VAM-1) by RGI
0|WP_000351450.1|1|1|nfsB|nfsB|mutation|2|||oxygen-insensitive_NAD(P)H_nitroreductase_NfsB	3003755		Previously mapped to ARO:3008820 (OXY-9-1) by RGI
0|WP_000680577.1|1|1|baeR|baeR|mutation|2|||response_regulator_BaeR	3000828		Previously mapped to ARO:3003066 (smeR) by RGI
0|WP_000697899.1|1|1|pmrA|pmrA|mutation|2|||two-component_system_response_regulator_PmrA	3000822		Previously mapped to ARO:3002919 (vanR gene in vanA cluster) by RGI
0|WP_000888203.1|1|1|oqxR|oqxR|mutation|2|||Rrf2_family_transcriptional_regulator_OqxR	3003921		https://aricjournal.biomedcentral.com/articles/10.1186/s13756-019-0489-3
0|WP_000948731.1|1|1|glpT|glpT|mutation|2|||glycerol-3-phosphate_transporter_GlpT	3004247		Previously mapped to ARO:3007019 (fexB) by RGI
0|WP_000977920.1|1|1|ompF|ompF|mutation|2|||outer_membrane_protein_F_OmpF	3000265		Previously mapped to ARO:3004122 (Klebsiella pneumoniae OmpK37) by RGI
0|WP_001010111.1|1|1|glpT|glpT|mutation|2|||glycerol-3-phosphate_transporter_GlpT	3004247		Previously mapped to ARO:3007010 (norC) by RGI
0|WP_001118667.1|1|1|rpsJ|rpsJ|mutation|2|||30S_ribosomal_protein_S10	3003930		Previously mapped to ARO:3003953 (hmrM) by RGI
0|WP_001157751.1|1|1|ompR|ompR|mutation|2|||two-component_system_response_regulator_OmpR	3004282		Previously mapped to ARO:3003728 (vanR gene in vanI cluster) by RGI
0|WP_001181005.1|1|1|rpsJ|rpsJ|mutation|2|||30S_ribosomal_protein_S10	3003930		Previously mapped to ARO:3001427 (OXA-33) by RGI
0|WP_001281271.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_001960919.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3002523 (AAC(2')-Ia) by RGI
0|WP_002215394.1|1|1|rpsJ|rpsJ|mutation|2|||30S_ribosomal_protein_S10	3003930		Previously mapped to ARO:3001364 (SHV-182) by RGI
0|WP_002215445.1|1|1|rpsE|rpsE|mutation|2|||30S_ribosomal_protein_S5	3007526		Previously mapped to ARO:3006155 (CME-2) by RGI
0|WP_002240607.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_002296175.1|1|1|eat(A)|eat(A)|mutation|2|||ABC-F_type_ribosomal_protection_protein_Eat(A)	3003761		Previously mapped to ARO:3000300 (lsaA) by RGI
0|WP_002884747.1|1|1|lamB|lamB|mutation|2|||maltoporin_LamB	3004126		Previously mapped to ARO:3000491 (acrD) by RGI
0|WP_002892080.1|1|1|acrR|acrR|mutation|2|||transcriptional_regulator_AcrR	3000702		Previously mapped to ARO:3003807 (Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime) by RGI
0|WP_003027598.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_003082436.1|1|1|phoP|phoP|mutation|2|||two-component_system_response_regulator_PhoP	3000834		Previously mapped to ARO:3000838 (arlR) by RGI
0|WP_003082438.1|1|1|phoQ|phoQ|mutation|2|||two-component_system_sensor_histidine_kinase_PhoQ	3000835		Previously mapped to ARO:3003067 (smeS) by RGI
0|WP_003088694.1|1|1|cmrA|cmrA|mutation|2|||AraC_family_transcriptional_regulator_CmrA	3002702		Previously mapped to ARO:3000823 (ramA) by RGI
0|WP_003091448.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3007906 (ACT-124) by RGI
0|WP_003093741.1|1|1|fusA1|fusA1|mutation|2|||elongation_factor_G	3003734		Previously mapped to ARO:3000193 (tet(T)) by RGI
0|WP_003096330.1|1|1|glpT|glpT|mutation|2|||glycerol-3-phosphate_transporter_GlpT	3004247		Previously mapped to ARO:3004574 (Acinetobacter baumannii AbaQ) by RGI
0|WP_003097268.1|1|1|gyrB|gyrB|mutation|2|||DNA_topoisomerase_(ATP-hydrolyzing)_subunit_B_GyrB	3000864		Previously mapped to ARO:3007043 (msr(I)) by RGI
0|WP_003102062.1|1|1|parE|parE|mutation|2|||DNA_topoisomerase_IV_subunit_B_ParE	3000115		Previously mapped to ARO:3000549 (adeS) by RGI
0|WP_003102236.1|1|1|pmrA|pmrA|mutation|2|||two-component_system_response_regulator_PmrA	3000822		Previously mapped to ARO:3000838 (arlR) by RGI
0|WP_003112576.1|1|1|oprD|oprD|mutation|2|||outer_membrane_porin_OprD	3003686		https://www.uniprot.org/uniprotkb/P32722/entry
0|WP_003137572.1|1|1|ampR|ampR|mutation|2|||transcriptional_regulator_AmpR	3007491		https://www.ncbi.nlm.nih.gov/protein/WP_003137572.1
0|WP_003429305.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3005466 (IMP-59) by RGI
0|WP_003429485.1|1|1|rpoC|rpoC|mutation|2|||DNA-directed_RNA_polymerase_subunit_beta_RpoC	3004995		Previously mapped to ARO:3004146 (cfrC) by RGI
0|WP_003434229.1|1|1|gyrB|gyrB|mutation|2|||DNA_topoisomerase_(ATP-hydrolyzing)_subunit_B_GyrB	3000864		Previously mapped to ARO:3008988 (PEN-A10) by RGI
0|WP_003688895.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_003690088.1|1|1|rplD|rplD|mutation|2|||50S_ribosomal_protein_L4	3004956		Previously mapped to ARO:3004643 (Erm(K)) by RGI
0|WP_003691666.1|1|1|parE|parE|mutation|2|||DNA_topoisomerase_IV_subunit_B_ParE	3000457		Previously mapped to ARO:3004669 (emtA) by RGI
0|WP_003702942.1|1|1|folP|folP|mutation|2|||dihydropteroate_synthase_FolP	3004873		https://www.ncbi.nlm.nih.gov/protein/WP_003702942.1
0|WP_004103997.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_004105833.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3007101 (BcIII) by RGI
0|WP_004527513.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3006122 (OXA-942) by RGI
0|WP_005482017.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3002523 (AAC(2')-Ia) by RGI
0|WP_006764872.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3006312 (ADC-137) by RGI
0|WP_011078689.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3002523 (AAC(2')-Ia) by RGI
0|WP_011861625.1|1|1|murG|murG|mutation|2|||undecaprenyldiphospho-muramoylpentapeptide_beta-N-acetylglucosaminyltransferase_MurG	3004560		Previously mapped to ARO:3000462 (mgtA) by RGI
0|WP_013098009.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_013098723.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3007101 (BcIII) by RGI
0|WP_019167736.1|1|1|grlA|grlA|mutation|2|||DNA_topoisomerase_GrlA	3003296		https://pmc.ncbi.nlm.nih.gov/articles/PMC105394/
0|WP_028127742.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
0|WP_050171206.1|1|1|gyrB|gyrB|mutation|2|||DNA_topoisomerase_(ATP-hydrolyzing)_subunit_B_GyrB	3004859		https://www.ncbi.nlm.nih.gov/protein/WP_050171206.1
0|WP_089631889.1|1|1|nfsA|nfsA|mutation|2|||nitroreductase_NfsA	3003751		https://www.ncbi.nlm.nih.gov/protein/WP_089631889.1
0|WP_103263503.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3000553 (adeR) by RGI
1011600567|WP_002389492.1|1|1|gshF|gshF|mutation|2|||bifunctional_glutamate--cysteine_ligase/glutathione_synthetase_GshF	3003805		https://www.ncbi.nlm.nih.gov/protein/WP_002389492.1
1236597042|WP_094970923.1|1|1|basR|basR|mutation|2|||two-component_system_response_regulator_BasR	3003582		Previously mapped to ARO:3000838 (arlR) by RGI
1327477942|WP_101982161.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3007101 (BcIII) by RGI
1409065054|WP_111724484.1|1|1|mprF|mprF|mutation|2|||bifunctional_lysylphosphatidylglycerol_flippase/synthetase	3003769		https://www.ncbi.nlm.nih.gov/protein/WP_111724484.1
1467848013|WP_117036963.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
16131218|WP_000031783.1|1|1|tufA|tufA|mutation|2|||translation_elongation_factor_EF-Tu_1	3003368		Previously mapped to ARO:3007124 (tet(W/32/O)) by RGI
1635689237|WP_137277832.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3002987 (bcrA) by RGI
1789396|WP_001281881.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3007101 (BcIII) by RGI
218562643|WP_002857904.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3004541 (mphK) by RGI
29342129|WP_002356022.1|1|1|yybT|yybT|mutation|2|||cyclic_dinucleotide_phosphodiesterase_YybT	3003797		https://www.ncbi.nlm.nih.gov/protein/WP_002356022.1
29344842|WP_002355137.1|1|1|liaR|liaR|mutation|2|||response_regulator_transcription_factor_LiaR	3003078		https://www.ncbi.nlm.nih.gov/protein/WP_002355137.1
29344843|WP_002365182.1|1|1|liaS|liaS|mutation|2|||sensor_histidine_kinase_LiaS	3004264		https://card.mcmaster.ca/ontology/41428
327534217|WP_002413481.1|1|1|cls|cls|mutation|2|||cardiolipin_synthase_Cls	3003760		https://www.ncbi.nlm.nih.gov/protein/WP_002413481.1
388533369|WP_002289154.1|1|1|liaS|liaS|mutation|2|||sensor_histidine_kinase_LiaS	3003079		https://www.ncbi.nlm.nih.gov/protein/WP_002289154.1
388533370|WP_002289153.1|1|1|liaR|liaR|mutation|2|||response_regulator_transcription_factor_LiaR	3003078		https://www.ncbi.nlm.nih.gov/protein/WP_002289153.1
446012460|WP_000090315.1|1|1|fusA|fusA|mutation|2|||elongation_factor_G	3003735		https://www.ncbi.nlm.nih.gov/protein/WP_000090315.1
446038595|WP_000116450.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3004466 (ICR-Mc) by RGI
446060493|WP_000138348.1|1|1|pbp2|pbp2|mutation|2|||penicillin-binding_protein	3001208		Previously mapped to ARO:3004658 (catA8) by RGI
446117463|WP_000195318.1|1|1|parE|parE|mutation|2|||DNA_topoisomerase_IV_subunit_B_ParE	3000457		Previously mapped to ARO:3000549 (adeS) by RGI
446306851|WP_000384706.1|1|1|ileS|ileS|mutation|2|||isoleucine--tRNA_ligase	3000732		Previously mapped to ARO:3000510 (Staphylococcus aureus mupB conferring resistance to mupirocin) by RGI
446687385|WP_000764731.1|1|1|folP|folP|mutation|2|||dihydropteroate_synthase_FolP	3000226		Previously mapped to ARO:3004361 (sul4) by RGI
